# CTIO DECam transmission (instrument+atmosphere)
# 	wavelength[nm] Thoughput
930.000000 0.000000
930.500000 0.002620
931.000000 0.005020
931.500000 0.005100
932.000000 0.004930
932.500000 0.005030
933.000000 0.005350
933.500000 0.005540
934.000000 0.005240
934.500000 0.005280
935.000000 0.006350
935.500000 0.007020
936.000000 0.007180
936.500000 0.007730
937.000000 0.007970
937.500000 0.009110
938.000000 0.009970
938.500000 0.010830
939.000000 0.012940
939.500000 0.016020
940.000000 0.017420
940.500000 0.018020
941.000000 0.019370
941.500000 0.022980
942.000000 0.025790
942.500000 0.026290
943.000000 0.026960
943.500000 0.034610
944.000000 0.038790
944.500000 0.042790
945.000000 0.054170
945.500000 0.055970
946.000000 0.053370
946.500000 0.081820
947.000000 0.115830
947.500000 0.116550
948.000000 0.108850
948.500000 0.163660
949.000000 0.240390
949.500000 0.229310
950.000000 0.212550
950.500000 0.302760
951.000000 0.421830
951.500000 0.456410
952.000000 0.440880
952.500000 0.461780
953.000000 0.533000
953.500000 0.574470
954.000000 0.600460
954.500000 0.611240
955.000000 0.635960
955.500000 0.631480
956.000000 0.626510
956.500000 0.634320
957.000000 0.646660
957.500000 0.694260
958.000000 0.699180
958.500000 0.677560
959.000000 0.659120
959.500000 0.645720
960.000000 0.669520
960.500000 0.689700
961.000000 0.703710
961.500000 0.717630
962.000000 0.701510
962.500000 0.673030
963.000000 0.695500
963.500000 0.717300
964.000000 0.708280
964.500000 0.708240
965.000000 0.720050
965.500000 0.738580
966.000000 0.725390
966.500000 0.699190
967.000000 0.709900
967.500000 0.755180
968.000000 0.769240
968.500000 0.754450
969.000000 0.762160
969.500000 0.770440
970.000000 0.762580
970.500000 0.758470
971.000000 0.765210
971.500000 0.754690
972.000000 0.748390
972.500000 0.743530
973.000000 0.731770
973.500000 0.723250
974.000000 0.718610
974.500000 0.709390
975.000000 0.701210
975.500000 0.701640
976.000000 0.696880
976.500000 0.701360
977.000000 0.716560
977.500000 0.721580
978.000000 0.712560
978.500000 0.705890
979.000000 0.702520
979.500000 0.697750
980.000000 0.699100
980.500000 0.700780
981.000000 0.713380
981.500000 0.715050
982.000000 0.709660
982.500000 0.702850
983.000000 0.699080
983.500000 0.703960
984.000000 0.705620
984.500000 0.699150
985.000000 0.692290
985.500000 0.692640
986.000000 0.694430
986.500000 0.692200
987.000000 0.687410
987.500000 0.681690
988.000000 0.678510
988.500000 0.675790
989.000000 0.671700
989.500000 0.666810
990.000000 0.661720
990.500000 0.657970
991.000000 0.654470
991.500000 0.650050
992.000000 0.645550
992.500000 0.640470
993.000000 0.635080
993.500000 0.631750
994.000000 0.628670
994.500000 0.625070
995.000000 0.621280
995.500000 0.616430
996.000000 0.611760
996.500000 0.607090
997.000000 0.602300
997.500000 0.597720
998.000000 0.593090
998.500000 0.588510
999.000000 0.583870
999.500000 0.578580
