# CTIO DECam transmission (instrument+atmosphere)
# 	wavelength[nm] Thoughput
381.500000 0.000540
382.000000 0.000600
382.500000 0.000600
383.000000 0.000600
383.500000 0.000700
384.000000 0.000790
384.500000 0.000870
385.000000 0.000950
385.500000 0.001030
386.000000 0.001110
386.500000 0.001230
387.000000 0.001350
387.500000 0.001470
388.000000 0.001590
388.500000 0.001780
389.000000 0.001980
389.500000 0.002180
390.000000 0.002380
390.500000 0.002370
391.000000 0.002350
391.500000 0.003340
392.000000 0.004340
392.500000 0.006590
393.000000 0.008850
393.500000 0.011120
394.000000 0.013410
394.500000 0.013680
395.000000 0.013960
395.500000 0.046490
396.000000 0.079160
396.500000 0.113490
397.000000 0.147920
397.500000 0.182450
398.000000 0.217100
398.500000 0.217020
399.000000 0.217020
399.500000 0.229460
400.000000 0.241960
400.500000 0.247820
401.000000 0.253770
401.500000 0.259700
402.000000 0.265700
402.500000 0.267810
403.000000 0.269890
403.500000 0.272180
404.000000 0.274470
404.500000 0.275180
405.000000 0.275890
405.500000 0.279180
406.000000 0.282550
406.500000 0.284530
407.000000 0.286450
407.500000 0.290740
408.000000 0.294940
408.500000 0.295680
409.000000 0.296450
409.500000 0.299040
410.000000 0.301580
410.500000 0.303430
411.000000 0.305300
411.500000 0.307210
412.000000 0.309060
412.500000 0.310470
413.000000 0.311850
413.500000 0.314270
414.000000 0.316810
414.500000 0.318350
415.000000 0.319860
415.500000 0.324810
416.000000 0.329700
416.500000 0.332710
417.000000 0.335650
417.500000 0.338600
418.000000 0.341600
418.500000 0.342550
419.000000 0.343570
419.500000 0.344230
420.000000 0.344850
420.500000 0.345580
421.000000 0.346300
421.500000 0.348700
422.000000 0.351110
422.500000 0.351810
423.000000 0.352510
423.500000 0.358470
424.000000 0.364370
424.500000 0.366380
425.000000 0.368580
425.500000 0.370830
426.000000 0.372960
426.500000 0.374740
427.000000 0.376450
427.500000 0.380420
428.000000 0.384460
428.500000 0.385140
429.000000 0.385770
429.500000 0.390100
430.000000 0.394290
430.500000 0.395910
431.000000 0.397650
431.500000 0.399470
432.000000 0.401380
432.500000 0.403630
433.000000 0.405720
433.500000 0.407730
434.000000 0.409870
434.500000 0.412370
435.000000 0.414770
435.500000 0.417400
436.000000 0.420110
436.500000 0.422460
437.000000 0.424800
437.500000 0.427160
438.000000 0.429250
438.500000 0.431980
439.000000 0.434570
439.500000 0.437440
440.000000 0.440480
440.500000 0.442590
441.000000 0.444640
441.500000 0.446520
442.000000 0.448440
442.500000 0.450030
443.000000 0.451600
443.500000 0.453270
444.000000 0.454890
444.500000 0.456310
445.000000 0.457820
445.500000 0.459510
446.000000 0.461350
446.500000 0.463040
447.000000 0.464500
447.500000 0.465910
448.000000 0.467050
448.500000 0.468580
449.000000 0.470380
449.500000 0.472380
450.000000 0.474200
450.500000 0.475810
451.000000 0.477390
451.500000 0.478910
452.000000 0.480540
452.500000 0.482620
453.000000 0.484740
453.500000 0.486930
454.000000 0.489160
454.500000 0.490470
455.000000 0.491630
455.500000 0.492730
456.000000 0.493940
456.500000 0.494710
457.000000 0.495480
457.500000 0.496200
458.000000 0.496720
458.500000 0.498490
459.000000 0.500450
459.500000 0.502470
460.000000 0.504390
460.500000 0.506230
461.000000 0.508080
461.500000 0.509970
462.000000 0.512020
462.500000 0.513660
463.000000 0.515210
463.500000 0.516610
464.000000 0.518100
464.500000 0.519510
465.000000 0.520970
465.500000 0.522540
466.000000 0.524010
466.500000 0.524440
467.000000 0.524600
467.500000 0.524830
468.000000 0.525150
468.500000 0.526050
469.000000 0.526890
469.500000 0.527790
470.000000 0.528750
470.500000 0.530060
471.000000 0.531440
471.500000 0.532860
472.000000 0.534240
472.500000 0.536120
473.000000 0.538000
473.500000 0.539770
474.000000 0.541430
474.500000 0.543290
475.000000 0.545360
475.500000 0.547440
476.000000 0.549520
476.500000 0.550170
477.000000 0.550760
477.500000 0.551350
478.000000 0.551900
478.500000 0.552390
479.000000 0.552780
479.500000 0.553040
480.000000 0.553540
480.500000 0.555070
481.000000 0.556540
481.500000 0.558020
482.000000 0.559560
482.500000 0.560390
483.000000 0.561290
483.500000 0.562130
484.000000 0.562980
484.500000 0.563070
485.000000 0.563110
485.500000 0.563200
486.000000 0.563280
486.500000 0.564930
487.000000 0.566580
487.500000 0.567990
488.000000 0.569590
488.500000 0.571070
489.000000 0.572770
489.500000 0.574770
490.000000 0.576700
490.500000 0.577690
491.000000 0.578620
491.500000 0.579490
492.000000 0.580370
492.500000 0.580190
493.000000 0.580080
493.500000 0.579900
494.000000 0.579730
494.500000 0.580220
495.000000 0.580760
495.500000 0.581360
496.000000 0.581790
496.500000 0.583990
497.000000 0.586120
497.500000 0.588380
498.000000 0.590580
498.500000 0.592050
499.000000 0.593280
499.500000 0.594520
500.000000 0.595820
500.500000 0.596700
501.000000 0.597700
501.500000 0.598710
502.000000 0.599650
502.500000 0.599900
503.000000 0.600160
503.500000 0.600350
504.000000 0.600720
504.500000 0.601750
505.000000 0.602910
505.500000 0.603870
506.000000 0.604910
506.500000 0.606530
507.000000 0.608280
507.500000 0.609900
508.000000 0.611650
508.500000 0.612810
509.000000 0.613970
509.500000 0.615130
510.000000 0.616230
510.500000 0.616100
511.000000 0.616040
511.500000 0.615790
512.000000 0.615480
512.500000 0.616040
513.000000 0.616670
513.500000 0.617420
514.000000 0.617990
514.500000 0.619590
515.000000 0.621190
515.500000 0.622790
516.000000 0.624390
516.500000 0.625230
517.000000 0.625940
517.500000 0.626720
