# CTIO DECam transmission (instrument+atmosphere)
# 	wavelength[nm] Thoughput
675.000000 0.000000
675.500000 0.000400
676.000000 0.000790
676.500000 0.000850
677.000000 0.000910
677.500000 0.000980
678.000000 0.001040
678.500000 0.001100
679.000000 0.001160
679.500000 0.001220
680.000000 0.001280
680.500000 0.001350
681.000000 0.001430
681.500000 0.001510
682.000000 0.001590
682.500000 0.001690
683.000000 0.001790
683.500000 0.001890
684.000000 0.001990
684.500000 0.002120
685.000000 0.002260
685.500000 0.002400
686.000000 0.002520
686.500000 0.002560
687.000000 0.002370
687.500000 0.002330
688.000000 0.002690
688.500000 0.003080
689.000000 0.003230
689.500000 0.003420
690.000000 0.003710
690.500000 0.004080
691.000000 0.004470
691.500000 0.004850
692.000000 0.005230
692.500000 0.005860
693.000000 0.006490
693.500000 0.007090
694.000000 0.007670
694.500000 0.008860
695.000000 0.010070
695.500000 0.011260
696.000000 0.012440
696.500000 0.015330
697.000000 0.018270
697.500000 0.021160
698.000000 0.024000
698.500000 0.030670
699.000000 0.037270
699.500000 0.043980
700.000000 0.050790
700.500000 0.064470
701.000000 0.078120
701.500000 0.091830
702.000000 0.105550
702.500000 0.128550
703.000000 0.151740
703.500000 0.175360
704.000000 0.198420
704.500000 0.230970
705.000000 0.263520
705.500000 0.295930
706.000000 0.328690
706.500000 0.366580
707.000000 0.404550
707.500000 0.442280
708.000000 0.480020
708.500000 0.516700
709.000000 0.553270
709.500000 0.589710
710.000000 0.625840
710.500000 0.656080
711.000000 0.686530
711.500000 0.717010
712.000000 0.747380
712.500000 0.768240
713.000000 0.788860
713.500000 0.809870
714.000000 0.830810
714.500000 0.841810
715.000000 0.852540
715.500000 0.863770
716.000000 0.873930
716.500000 0.872730
717.000000 0.863270
717.500000 0.853990
718.000000 0.852020
718.500000 0.840910
719.000000 0.834380
719.500000 0.837220
720.000000 0.839880
720.500000 0.847410
721.000000 0.866880
721.500000 0.885730
722.000000 0.891640
722.500000 0.890130
723.000000 0.878650
723.500000 0.860610
724.000000 0.859340
724.500000 0.862410
725.000000 0.868320
725.500000 0.873430
726.000000 0.881570
726.500000 0.883210
727.000000 0.884110
727.500000 0.880200
728.000000 0.881360
728.500000 0.894260
729.000000 0.893640
729.500000 0.896280
730.000000 0.902910
730.500000 0.899620
731.000000 0.899400
731.500000 0.901030
732.000000 0.905150
732.500000 0.911890
733.000000 0.913890
733.500000 0.912750
734.000000 0.913640
734.500000 0.913860
735.000000 0.912880
735.500000 0.912740
736.000000 0.911580
736.500000 0.912170
737.000000 0.913670
737.500000 0.916570
738.000000 0.918910
738.500000 0.920800
739.000000 0.923060
739.500000 0.925140
740.000000 0.927400
740.500000 0.929600
741.000000 0.931150
741.500000 0.932520
742.000000 0.934070
742.500000 0.934280
743.000000 0.934870
743.500000 0.935650
744.000000 0.935960
744.500000 0.935510
745.000000 0.935350
745.500000 0.934990
746.000000 0.934820
746.500000 0.934690
747.000000 0.934470
747.500000 0.934140
748.000000 0.933920
748.500000 0.934370
749.000000 0.934720
749.500000 0.935170
750.000000 0.935530
750.500000 0.935810
751.000000 0.936370
751.500000 0.936840
752.000000 0.937210
752.500000 0.937580
753.000000 0.937950
753.500000 0.938220
