# CTIO DECam transmission (instrument+atmosphere)
# 	wavelength[nm] Thoughput
540.000000 0.000000
540.500000 0.001150
541.000000 0.002290
541.500000 0.002430
542.000000 0.002570
542.500000 0.002760
543.000000 0.002960
543.500000 0.003150
544.000000 0.003350
544.500000 0.003590
545.000000 0.003830
545.500000 0.004070
546.000000 0.004310
546.500000 0.004550
547.000000 0.004810
547.500000 0.005050
548.000000 0.005300
548.500000 0.005670
549.000000 0.006030
549.500000 0.006400
550.000000 0.006760
550.500000 0.007180
551.000000 0.007610
551.500000 0.008030
552.000000 0.008460
552.500000 0.008970
553.000000 0.009480
553.500000 0.010000
554.000000 0.010510
554.500000 0.011210
555.000000 0.011910
555.500000 0.012610
556.000000 0.013310
556.500000 0.014250
557.000000 0.015180
557.500000 0.016120
558.000000 0.017050
558.500000 0.018540
559.000000 0.020040
559.500000 0.021540
560.000000 0.023030
560.500000 0.026690
561.000000 0.030350
561.500000 0.034020
562.000000 0.037680
562.500000 0.051190
563.000000 0.064720
563.500000 0.078220
564.000000 0.091730
564.500000 0.135560
565.000000 0.179410
565.500000 0.223280
566.000000 0.267160
566.500000 0.335160
567.000000 0.403150
567.500000 0.471000
568.000000 0.538760
568.500000 0.570480
569.000000 0.602300
569.500000 0.634280
570.000000 0.666410
570.500000 0.671550
571.000000 0.676760
571.500000 0.681560
572.000000 0.686240
572.500000 0.688010
573.000000 0.689860
573.500000 0.691770
574.000000 0.693620
574.500000 0.695380
575.000000 0.697350
575.500000 0.699470
576.000000 0.701520
576.500000 0.703100
577.000000 0.704610
577.500000 0.706200
578.000000 0.707930
578.500000 0.709210
579.000000 0.710410
579.500000 0.711680
580.000000 0.712890
580.500000 0.715180
581.000000 0.717550
581.500000 0.719920
582.000000 0.722150
582.500000 0.723180
583.000000 0.724130
583.500000 0.725230
584.000000 0.726110
584.500000 0.725830
585.000000 0.725710
585.500000 0.725430
586.000000 0.725000
586.500000 0.724060
587.000000 0.723190
587.500000 0.721880
588.000000 0.720070
588.500000 0.718570
589.000000 0.717280
589.500000 0.717370
590.000000 0.717610
590.500000 0.720250
591.000000 0.722890
591.500000 0.723930
592.000000 0.724460
592.500000 0.725750
593.000000 0.728430
593.500000 0.730010
594.000000 0.729550
594.500000 0.727180
595.000000 0.727980
595.500000 0.729870
