# CTIO DECam transmission (instrument+atmosphere)
# 	wavelength[nm] Thoughput
333.000000 0.000000
334.000000 0.001390
335.000000 0.002750
336.000000 0.003460
337.000000 0.003950
338.000000 0.004550
339.000000 0.004680
340.000000 0.004710
341.000000 0.005660
342.000000 0.006350
343.000000 0.007230
344.000000 0.008090
345.000000 0.009040
346.000000 0.009970
347.000000 0.009780
348.000000 0.011480
349.000000 0.011790
350.000000 0.012830
351.000000 0.013890
352.000000 0.014310
353.000000 0.016060
354.000000 0.018460
355.000000 0.019080
356.000000 0.022360
357.000000 0.022720
358.000000 0.025540
359.000000 0.027540
360.000000 0.029640
361.000000 0.030940
362.000000 0.035050
363.000000 0.037180
364.000000 0.039330
365.000000 0.041500
366.000000 0.047780
367.000000 0.048300
368.000000 0.054110
369.000000 0.054900
370.000000 0.059720
371.000000 0.061520
372.000000 0.064380
373.000000 0.067410
374.000000 0.071020
375.000000 0.074660
376.000000 0.078340
377.000000 0.081880
378.000000 0.085140
379.000000 0.088440
380.000000 0.093310
381.000000 0.094930
382.000000 0.097500
383.000000 0.099890
384.000000 0.104470
385.000000 0.107550
386.000000 0.110660
387.000000 0.114300
388.000000 0.118220
389.000000 0.119630
390.000000 0.121050
391.000000 0.124790
392.000000 0.129310
393.000000 0.130320
394.000000 0.134570
395.000000 0.138170
396.000000 0.141290
397.000000 0.140480
398.000000 0.120030
399.000000 0.091080
400.000000 0.050400
401.000000 0.018810
402.000000 0.007710
403.000000 0.003090
404.000000 0.001370
405.000000 0.001260
406.000000 0.001060
407.000000 0.000370
