# CTIO DECam transmission (instrument+atmosphere)
# 	wavelength[nm] Thoughput
825.000000 0.000000
825.500000 0.002180
826.000000 0.004340
826.500000 0.004670
827.000000 0.004970
827.500000 0.005280
828.000000 0.005630
828.500000 0.005660
829.000000 0.005650
829.500000 0.005660
830.000000 0.005710
830.500000 0.006010
831.000000 0.006360
831.500000 0.006840
832.000000 0.007240
832.500000 0.007760
833.000000 0.008310
833.500000 0.008780
834.000000 0.009270
834.500000 0.011350
835.000000 0.013390
835.500000 0.013760
836.000000 0.014140
836.500000 0.014540
837.000000 0.014950
837.500000 0.015340
838.000000 0.015730
838.500000 0.019580
839.000000 0.023420
839.500000 0.025900
840.000000 0.028350
840.500000 0.030790
841.000000 0.033220
841.500000 0.035710
842.000000 0.038190
842.500000 0.057420
843.000000 0.076630
843.500000 0.074320
844.000000 0.072060
844.500000 0.093080
845.000000 0.114110
845.500000 0.135160
846.000000 0.156140
846.500000 0.240180
847.000000 0.324410
847.500000 0.322140
848.000000 0.319680
848.500000 0.380890
849.000000 0.442160
849.500000 0.503530
850.000000 0.564880
850.500000 0.616330
851.000000 0.667640
851.500000 0.718970
852.000000 0.770670
852.500000 0.802220
853.000000 0.833560
853.500000 0.864670
854.000000 0.895590
854.500000 0.904880
855.000000 0.914440
855.500000 0.923910
856.000000 0.933390
856.500000 0.931930
857.000000 0.930290
857.500000 0.935070
858.000000 0.940140
858.500000 0.932070
859.000000 0.923710
859.500000 0.923490
860.000000 0.923440
860.500000 0.925160
861.000000 0.926780
861.500000 0.929360
862.000000 0.931740
862.500000 0.936280
863.000000 0.941010
863.500000 0.945160
864.000000 0.949320
864.500000 0.950490
865.000000 0.951370
865.500000 0.950070
866.000000 0.949060
866.500000 0.952010
867.000000 0.954970
867.500000 0.954580
868.000000 0.954080
868.500000 0.953690
869.000000 0.953390
869.500000 0.953430
870.000000 0.953460
870.500000 0.953500
871.000000 0.953640
871.500000 0.953940
872.000000 0.954230
872.500000 0.954630
873.000000 0.954930
873.500000 0.954580
874.000000 0.954430
874.500000 0.956200
875.000000 0.957970
875.500000 0.958920
876.000000 0.959870
876.500000 0.960820
877.000000 0.961760
877.500000 0.962870
878.000000 0.963790
878.500000 0.964800
879.000000 0.965900
879.500000 0.966550
880.000000 0.967200
880.500000 0.967750
881.000000 0.968310
881.500000 0.969020
882.000000 0.969640
882.500000 0.970250
883.000000 0.971160
883.500000 0.971400
884.000000 0.971940
884.500000 0.972380
885.000000 0.972620
885.500000 0.972700
886.000000 0.972290
886.500000 0.972950
887.000000 0.973900
887.500000 0.974470
888.000000 0.974260
888.500000 0.975230
889.000000 0.976880
889.500000 0.974710
890.000000 0.971960
890.500000 0.971970
891.000000 0.972470
891.500000 0.971560
892.000000 0.969870
892.500000 0.968480
893.000000 0.963490
893.500000 0.960260
894.000000 0.960910
894.500000 0.955840
895.000000 0.945720
895.500000 0.932220
896.000000 0.922520
896.500000 0.909130
897.000000 0.903890
897.500000 0.913480
898.000000 0.919090
898.500000 0.885430
899.000000 0.842700
899.500000 0.863720
900.000000 0.892460
900.500000 0.886130
901.000000 0.891660
901.500000 0.899840
902.000000 0.897480
902.500000 0.893000
903.000000 0.905920
903.500000 0.937750
904.000000 0.957800
904.500000 0.955000
905.000000 0.950740
905.500000 0.951710
906.000000 0.949740
906.500000 0.928580
907.000000 0.904410
907.500000 0.895670
908.000000 0.893710
908.500000 0.896070
909.000000 0.896160
909.500000 0.900740
910.000000 0.903450
910.500000 0.895810
911.000000 0.906090
911.500000 0.911580
912.000000 0.902660
912.500000 0.913190
913.000000 0.891530
913.500000 0.868140
914.000000 0.886140
914.500000 0.916710
915.000000 0.909300
915.500000 0.869010
916.000000 0.879950
916.500000 0.921300
917.000000 0.923980
917.500000 0.896720
918.000000 0.885490
918.500000 0.909170
919.000000 0.932000
919.500000 0.937340
920.000000 0.936060
920.500000 0.947220
921.000000 0.946620
921.500000 0.936230
922.000000 0.934390
922.500000 0.941260
923.000000 0.940190
923.500000 0.933960
924.000000 0.926890
924.500000 0.920520
925.000000 0.917030
925.500000 0.919040
926.000000 0.920090
926.500000 0.919600
927.000000 0.921570
927.500000 0.898250
928.000000 0.866940
