# Huble Space Telescope Throughput
# By 03-28-2022
# https://www.stsci.edu/hst/instrumentation/wfc3/documentation/grism-resources/wfc3-g141-calibrations
# With modification: Throughput = sensitivity * unit('erg cm-2') * photon_energy / area
# Wavelength(nm) Throughput(0-1)
995.00 0.00000
995.10 0.00000
995.20 0.00000
995.30 0.00125
995.40 0.00126
995.50 0.00127
995.60 0.00128
995.70 0.00129
995.80 0.00130
995.90 0.00131
996.00 0.00132
996.10 0.00133
996.20 0.00134
996.30 0.00135
996.40 0.00136
996.50 0.00136
996.60 0.00137
996.70 0.00138
996.80 0.00139
996.90 0.00140
997.00 0.00141
997.10 0.00142
997.20 0.00143
997.30 0.00144
997.40 0.00145
997.50 0.00146
997.60 0.00147
997.70 0.00148
997.80 0.00149
997.90 0.00150
998.00 0.00151
998.10 0.00152
998.20 0.00153
998.30 0.00154
998.40 0.00155
998.50 0.00156
998.60 0.00157
998.70 0.00158
998.80 0.00159
998.90 0.00160
999.00 0.00161
999.10 0.00162
999.20 0.00163
999.30 0.00164
999.40 0.00165
999.50 0.00166
999.60 0.00167
999.70 0.00168
999.80 0.00170
999.90 0.00171
1000.00 0.00172
1000.10 0.00173
1000.20 0.00174
1000.30 0.00175
1000.40 0.00176
1000.50 0.00177
1000.60 0.00178
1000.70 0.00179
1000.80 0.00180
1000.90 0.00181
1001.00 0.00182
1001.10 0.00182
1001.20 0.00183
1001.30 0.00184
1001.40 0.00185
1001.50 0.00186
1001.60 0.00187
1001.70 0.00187
1001.80 0.00188
1001.90 0.00189
1002.00 0.00190
1002.10 0.00191
1002.20 0.00191
1002.30 0.00192
1002.40 0.00193
1002.50 0.00194
1002.60 0.00194
1002.70 0.00195
1002.80 0.00196
1002.90 0.00197
1003.00 0.00197
1003.10 0.00198
1003.20 0.00199
1003.30 0.00200
1003.40 0.00200
1003.50 0.00201
1003.60 0.00202
1003.70 0.00202
1003.80 0.00203
1003.90 0.00204
1004.00 0.00204
1004.10 0.00205
1004.20 0.00206
1004.30 0.00206
1004.40 0.00207
1004.50 0.00208
1004.60 0.00208
1004.70 0.00209
1004.80 0.00210
1004.90 0.00210
1005.00 0.00211
1005.10 0.00212
1005.20 0.00212
1005.30 0.00213
1005.40 0.00213
1005.50 0.00214
1005.60 0.00214
1005.70 0.00215
1005.80 0.00215
1005.90 0.00216
1006.00 0.00216
1006.10 0.00217
1006.20 0.00217
1006.30 0.00218
1006.40 0.00218
1006.50 0.00219
1006.60 0.00219
1006.70 0.00220
1006.80 0.00220
1006.90 0.00220
1007.00 0.00221
1007.10 0.00221
1007.20 0.00222
1007.30 0.00222
1007.40 0.00222
1007.50 0.00223
1007.60 0.00223
1007.70 0.00223
1007.80 0.00224
1007.90 0.00224
1008.00 0.00224
1008.10 0.00225
1008.20 0.00225
1008.30 0.00225
1008.40 0.00226
1008.50 0.00226
1008.60 0.00226
1008.70 0.00227
1008.80 0.00227
1008.90 0.00227
1009.00 0.00227
1009.10 0.00228
1009.20 0.00228
1009.30 0.00228
1009.40 0.00228
1009.50 0.00228
1009.60 0.00229
1009.70 0.00229
1009.80 0.00229
1009.90 0.00229
1010.00 0.00229
1010.10 0.00230
1010.20 0.00230
1010.30 0.00230
1010.40 0.00230
1010.50 0.00231
1010.60 0.00231
1010.70 0.00231
1010.80 0.00231
1010.90 0.00232
1011.00 0.00232
1011.10 0.00232
1011.20 0.00232
1011.30 0.00232
1011.40 0.00233
1011.50 0.00233
1011.60 0.00233
1011.70 0.00233
1011.80 0.00234
1011.90 0.00234
1012.00 0.00234
1012.10 0.00234
1012.20 0.00234
1012.30 0.00235
1012.40 0.00235
1012.50 0.00235
1012.60 0.00235
1012.70 0.00235
1012.80 0.00235
1012.90 0.00236
1013.00 0.00236
1013.10 0.00236
1013.20 0.00236
1013.30 0.00236
1013.40 0.00236
1013.50 0.00237
1013.60 0.00237
1013.70 0.00237
1013.80 0.00237
1013.90 0.00237
1014.00 0.00237
1014.10 0.00237
1014.20 0.00237
1014.30 0.00238
1014.40 0.00238
1014.50 0.00238
1014.60 0.00238
1014.70 0.00238
1014.80 0.00239
1014.90 0.00239
1015.00 0.00240
1015.10 0.00240
1015.20 0.00241
