# JWST NIRCam WFSS Grism Sensitivity file (with units converted)
# Wavelength(nm) Sensitivity(DN/s/(phot/s/cm2/nm))
3831.00 1.13646e+03
3836.00 1.30926e+03
3841.00 1.74083e+03
3846.00 2.43753e+03
3851.00 3.37896e+03
3856.00 4.30443e+03
3861.00 6.16045e+03
3866.00 8.03176e+03
3871.00 1.06838e+04
3876.00 1.43828e+04
3881.00 1.85082e+04
3886.00 2.33331e+04
3891.00 2.88692e+04
3896.00 3.44545e+04
3901.00 3.89883e+04
3906.00 4.30302e+04
3911.00 4.64091e+04
3916.00 4.98279e+04
3921.00 5.19918e+04
3926.00 5.33929e+04
3931.00 5.55952e+04
3936.00 5.63708e+04
3941.00 5.64706e+04
3946.00 5.69068e+04
3951.00 5.82499e+04
3956.00 5.86374e+04
3961.00 5.86682e+04
3966.00 5.83155e+04
3971.00 5.89584e+04
3976.00 5.91778e+04
3981.00 5.90335e+04
3986.00 5.90907e+04
3991.00 5.94513e+04
3996.00 5.92708e+04
4001.00 5.92996e+04
4006.00 6.03059e+04
4011.00 6.09561e+04
4016.00 6.19102e+04
4021.00 6.09023e+04
4026.00 6.07911e+04
4031.00 6.07186e+04
4036.00 6.09070e+04
4041.00 5.98110e+04
4046.00 6.00360e+04
4051.00 5.79072e+04
4056.00 5.98694e+04
4061.00 6.06649e+04
4066.00 6.10400e+04
4071.00 6.07916e+04
4076.00 6.06502e+04
4081.00 6.06010e+04
4086.00 6.01216e+04
4091.00 5.97371e+04
4096.00 5.96095e+04
4101.00 6.04217e+04
4106.00 5.97754e+04
4111.00 5.94851e+04
4116.00 5.92757e+04
4121.00 5.86940e+04
4126.00 5.88681e+04
4131.00 5.91097e+04
4136.00 5.93818e+04
4141.00 5.92429e+04
4146.00 5.97163e+04
4151.00 5.97682e+04
4156.00 5.91925e+04
4161.00 5.97876e+04
4166.00 6.08019e+04
4171.00 6.01004e+04
4176.00 6.01877e+04
4181.00 5.97788e+04
4186.00 5.91156e+04
4191.00 5.87235e+04
4196.00 5.93864e+04
4201.00 5.80280e+04
4206.00 5.84466e+04
4211.00 5.91787e+04
4216.00 5.90045e+04
4221.00 5.85490e+04
4226.00 5.90230e+04
4231.00 5.89333e+04
4236.00 5.83515e+04
4241.00 5.89009e+04
4246.00 5.83834e+04
4251.00 5.78576e+04
4256.00 5.91301e+04
4261.00 5.92100e+04
4266.00 5.89032e+04
4271.00 5.85914e+04
4276.00 5.86668e+04
4281.00 5.85257e+04
4286.00 5.78418e+04
4291.00 5.81907e+04
4296.00 5.68583e+04
4301.00 5.73303e+04
4306.00 5.82792e+04
4311.00 5.87179e+04
4316.00 5.90694e+04
4321.00 5.82431e+04
4326.00 5.77785e+04
4331.00 5.76349e+04
4336.00 5.79934e+04
4341.00 5.72508e+04
4346.00 5.80381e+04
4351.00 5.66761e+04
4356.00 5.72333e+04
4361.00 5.72294e+04
4366.00 5.83003e+04
4371.00 5.78414e+04
4376.00 5.64018e+04
4381.00 5.73209e+04
4386.00 5.59535e+04
4391.00 5.63924e+04
4396.00 5.60031e+04
4401.00 5.60726e+04
4406.00 5.56111e+04
4411.00 5.48237e+04
4416.00 5.60378e+04
4421.00 5.61695e+04
4426.00 5.58685e+04
4431.00 5.66536e+04
4436.00 5.62801e+04
4441.00 5.61476e+04
4446.00 5.56054e+04
4451.00 5.68140e+04
4456.00 5.63372e+04
4461.00 5.64155e+04
4466.00 5.52989e+04
4471.00 5.52488e+04
4476.00 5.51644e+04
4481.00 5.56904e+04
4486.00 5.52737e+04
4491.00 5.59659e+04
4496.00 5.48082e+04
4501.00 5.60073e+04
4506.00 5.62430e+04
4511.00 5.57892e+04
4516.00 5.52846e+04
4521.00 5.44519e+04
4526.00 5.46278e+04
4531.00 5.46717e+04
