# JWST NIRCam WFSS Grism Sensitivity file (with units converted)
# Wavelength(nm) Sensitivity(DN/s/(phot/s/cm2/nm))
3827.00 1.24026e+03
3832.00 1.48665e+03
3836.00 1.42949e+03
3841.00 1.78282e+03
3845.00 2.27792e+03
3850.00 2.89109e+03
3855.00 4.22004e+03
3860.00 5.59182e+03
3865.00 7.25806e+03
3870.00 9.57198e+03
3875.00 1.29397e+04
3880.00 1.68778e+04
3885.00 2.18722e+04
3890.00 2.64683e+04
3895.00 3.15019e+04
3900.00 3.62566e+04
3905.00 4.13751e+04
3910.00 4.51521e+04
3915.00 4.82685e+04
3920.00 5.07364e+04
3925.00 5.32451e+04
3930.00 5.51172e+04
3935.00 5.57870e+04
3940.00 5.76327e+04
3945.00 5.78621e+04
3950.00 5.81380e+04
3955.00 5.84894e+04
3960.00 5.84511e+04
3965.00 5.86373e+04
3970.00 5.83627e+04
3975.00 5.85755e+04
3980.00 5.87020e+04
3985.00 5.91797e+04
3990.00 5.96841e+04
3995.00 5.92956e+04
4000.00 5.99625e+04
4005.00 5.94990e+04
4010.00 5.99586e+04
4015.00 6.02368e+04
4020.00 6.02817e+04
4025.00 5.94782e+04
4030.00 6.06125e+04
4035.00 6.04529e+04
4040.00 5.94964e+04
4045.00 6.02522e+04
4050.00 5.98715e+04
4055.00 5.82221e+04
4060.00 5.98625e+04
4065.00 5.94821e+04
4070.00 5.99684e+04
4075.00 6.00251e+04
4080.00 5.89871e+04
4085.00 5.99112e+04
4090.00 6.05935e+04
4095.00 6.02277e+04
4100.00 6.02388e+04
4105.00 5.95977e+04
4110.00 5.97623e+04
4115.00 5.98113e+04
4120.00 5.99258e+04
4125.00 6.03237e+04
4130.00 6.02847e+04
4135.00 6.03782e+04
4140.00 6.05277e+04
4145.00 6.08834e+04
4150.00 5.98130e+04
4155.00 5.92477e+04
4160.00 5.96241e+04
4165.00 5.94772e+04
4170.00 5.98923e+04
4175.00 6.02242e+04
4180.00 5.98875e+04
4185.00 5.97717e+04
4190.00 5.89916e+04
4195.00 5.91871e+04
4200.00 5.97110e+04
4205.00 5.89646e+04
4210.00 5.90542e+04
4215.00 5.95341e+04
4220.00 5.96419e+04
4225.00 5.88130e+04
4230.00 5.89096e+04
4235.00 5.83413e+04
4240.00 5.91219e+04
4245.00 5.88321e+04
4250.00 5.91112e+04
