# JWST NIRCam WFSS Grism Sensitivity file (with units converted)
# Wavelength(nm) Sensitivity(DN/s/(phot/s/cm2/nm))
3840.50 2.88879e+03
3845.50 3.67863e+03
3850.50 5.10452e+03
3855.50 7.06753e+03
3860.50 8.98137e+03
3865.50 1.19503e+04
3870.50 1.52867e+04
3875.50 1.88990e+04
3880.50 2.26175e+04
3885.50 2.61217e+04
3890.50 2.94210e+04
3895.50 3.25539e+04
3900.50 3.48303e+04
3905.50 3.68398e+04
3910.50 3.89034e+04
3915.50 4.02312e+04
3920.50 4.16482e+04
3925.50 4.27053e+04
3930.50 4.30438e+04
3935.50 4.36092e+04
3940.50 4.41447e+04
3945.50 4.43080e+04
3950.50 4.47827e+04
3955.50 4.50511e+04
3960.50 4.48401e+04
3965.50 4.46061e+04
3970.50 4.46082e+04
3975.50 4.49019e+04
3980.50 4.50238e+04
3985.50 4.48335e+04
3990.50 4.48448e+04
3995.50 4.49335e+04
4000.50 4.53844e+04
4005.50 4.57761e+04
4010.50 4.56632e+04
4015.50 4.48107e+04
4020.50 4.57400e+04
4025.50 4.55598e+04
4030.50 4.54559e+04
4035.50 4.51245e+04
4040.50 4.52733e+04
4045.50 4.45346e+04
4050.50 4.40617e+04
4055.50 4.59033e+04
4060.50 4.56680e+04
4065.50 4.53867e+04
4070.50 4.56035e+04
4075.50 4.53833e+04
4080.50 4.56504e+04
4085.50 4.56227e+04
4090.50 4.64749e+04
4095.50 4.57775e+04
4100.50 4.55036e+04
4105.50 4.54554e+04
4110.50 4.56614e+04
4115.50 4.56463e+04
4120.50 4.54241e+04
4125.50 4.52712e+04
4130.50 4.51662e+04
4135.50 4.55640e+04
4140.50 4.52514e+04
4145.50 4.54832e+04
4150.50 4.52991e+04
4155.50 4.56568e+04
4160.50 4.48599e+04
4165.50 4.53596e+04
4170.50 4.56323e+04
4175.50 4.55756e+04
4180.50 4.49739e+04
4185.50 4.47570e+04
4190.50 4.47930e+04
4195.50 4.44609e+04
4200.50 4.44412e+04
4205.50 4.46028e+04
4210.50 4.48249e+04
4215.50 4.46901e+04
4220.50 4.48983e+04
4225.50 4.48541e+04
4230.50 4.49652e+04
4235.50 4.48631e+04
4240.50 4.47534e+04
4245.50 4.46818e+04
4250.50 4.46035e+04
4255.50 4.46326e+04
4260.50 4.41997e+04
4265.50 4.45249e+04
4270.50 4.45021e+04
4275.50 4.45695e+04
4280.50 4.44937e+04
4285.50 4.44023e+04
4290.50 4.38139e+04
4295.50 4.33760e+04
4300.50 4.35570e+04
4305.50 4.39217e+04
4310.50 4.47587e+04
4315.50 4.39934e+04
4320.50 4.41428e+04
4325.50 4.40793e+04
4330.50 4.34106e+04
4335.50 4.38077e+04
4340.50 4.38278e+04
4345.50 4.31365e+04
4350.50 4.31732e+04
4355.50 4.31850e+04
4360.50 4.28983e+04
4365.50 4.28529e+04
4370.50 4.30520e+04
4375.50 4.32960e+04
4380.50 4.31690e+04
4385.50 4.26650e+04
4390.50 4.23684e+04
4395.50 4.24058e+04
4400.50 4.19394e+04
4405.50 4.16164e+04
4410.50 4.19363e+04
4415.50 4.14896e+04
4420.50 4.18644e+04
4425.50 4.20111e+04
4430.50 4.16808e+04
4435.50 4.16353e+04
4440.50 4.12182e+04
4445.50 4.16779e+04
4450.50 4.14953e+04
4455.50 4.12898e+04
4460.50 4.05825e+04
4465.50 4.09875e+04
4470.50 4.13423e+04
4475.50 4.14832e+04
4480.50 4.16714e+04
4485.50 4.12058e+04
4490.50 4.12512e+04
4495.50 4.11723e+04
4500.50 4.08238e+04
4505.50 4.14296e+04
4510.50 4.21543e+04
4515.50 4.06481e+04
4520.50 4.01905e+04
4525.50 4.03438e+04
4530.50 4.07997e+04
4535.50 4.04940e+04
4540.50 4.04030e+04
4545.50 4.05170e+04
4550.50 4.01171e+04
4555.50 4.02071e+04
4560.50 4.04084e+04
4565.50 3.99075e+04
4570.50 4.01351e+04
4575.50 3.99516e+04
4580.50 3.95937e+04
4585.50 3.98937e+04
4590.50 3.97611e+04
4595.50 3.95760e+04
4600.50 3.93069e+04
4605.50 3.88342e+04
4610.50 3.89283e+04
4615.50 3.85497e+04
4620.50 3.87537e+04
4625.50 3.86461e+04
4630.50 3.85130e+04
4635.50 3.85583e+04
4640.50 3.76491e+04
4645.50 3.70026e+04
4650.50 3.69137e+04
4655.50 3.77091e+04
4660.50 3.74112e+04
4665.50 3.73097e+04
4670.50 3.72977e+04
4675.50 3.70774e+04
4680.50 3.66968e+04
4685.50 3.69322e+04
4690.50 3.67892e+04
4695.50 3.69193e+04
4700.50 3.64472e+04
4705.50 3.62705e+04
4710.50 3.62959e+04
4715.50 3.63107e+04
4720.50 3.70714e+04
4725.50 3.69065e+04
4730.50 3.64447e+04
4735.50 3.65278e+04
4740.50 3.65010e+04
4745.50 3.61329e+04
4750.50 3.62780e+04
4755.50 3.60323e+04
4760.50 3.52643e+04
4765.50 3.63238e+04
4770.50 3.57856e+04
4775.50 3.55877e+04
4780.50 3.45933e+04
4785.50 3.50506e+04
4790.50 3.43917e+04
4795.50 3.48207e+04
4800.50 3.48503e+04
4805.50 3.44812e+04
4810.50 3.48528e+04
4815.50 3.44499e+04
4820.50 3.46943e+04
4825.50 3.53704e+04
4830.50 3.48677e+04
4835.50 3.48407e+04
4840.50 3.40980e+04
4845.50 3.41961e+04
4850.50 3.41028e+04
4855.50 3.39775e+04
4860.50 3.35306e+04
4865.50 3.32482e+04
4870.50 3.27244e+04
4875.50 3.33492e+04
4880.50 3.26519e+04
4885.50 3.33826e+04
4890.50 3.24035e+04
4895.50 3.17077e+04
4900.50 3.16645e+04
4905.50 3.22373e+04
4910.50 3.11021e+04
4915.50 3.12898e+04
4920.50 3.10034e+04
4925.50 3.07412e+04
4930.50 3.02862e+04
4935.50 3.01544e+04
4940.50 2.90284e+04
4945.50 2.79272e+04
4950.50 2.65765e+04
4955.50 2.58123e+04
4960.50 2.34705e+04
4965.50 2.13026e+04
4970.50 1.88717e+04
4975.50 1.72423e+04
4980.50 1.55617e+04
4985.50 1.36835e+04
4990.50 1.21741e+04
4995.50 1.05283e+04
5000.50 9.13826e+03
5005.50 7.80182e+03
5010.50 7.01016e+03
5015.50 6.16972e+03
5020.50 4.90976e+03
5025.50 4.16774e+03
5030.50 3.87090e+03
5035.50 3.24247e+03
5040.50 2.69995e+03
5045.50 2.16571e+03
5050.50 1.79573e+03
5055.50 1.50942e+03
5060.50 1.09278e+03
5065.50 6.57861e+02
5070.50 8.66815e+01
5075.50 4.84954e+02
5080.50 -3.19806e+01
5085.50 -2.15997e+02
5090.50 2.56348e+01
5095.50 3.07582e+02
5100.50 1.38903e+02
5105.50 -1.81326e+02
