# JWST NIRCam WFSS Grism Sensitivity file (with units converted)
# Wavelength(nm) Sensitivity(DN/s/(phot/s/cm2/nm))
3825.50 1.37538e+03
3830.50 1.84318e+03
3835.70 2.39008e+03
3840.70 2.97649e+03
3846.00 4.20051e+03
3851.00 5.38893e+03
3856.00 6.64431e+03
3861.00 8.85948e+03
3866.00 1.19483e+04
3871.00 1.52663e+04
3876.00 1.87509e+04
3881.00 2.27237e+04
3886.00 2.61339e+04
3891.00 2.95176e+04
3896.00 3.19269e+04
3901.00 3.50857e+04
3906.00 3.71686e+04
3911.00 3.91779e+04
3916.00 4.06346e+04
3921.00 4.18148e+04
3926.00 4.26098e+04
3931.00 4.32509e+04
3936.00 4.39890e+04
3941.00 4.37694e+04
3946.00 4.40171e+04
3951.00 4.41980e+04
3956.00 4.46613e+04
3961.00 4.46951e+04
3966.00 4.48128e+04
3971.00 4.47240e+04
3976.00 4.48520e+04
3981.00 4.48670e+04
3986.00 4.51333e+04
3991.00 4.45984e+04
3996.00 4.49913e+04
4001.00 4.53400e+04
4006.00 4.56857e+04
4011.00 4.60519e+04
4016.00 4.48698e+04
4021.00 4.55243e+04
4026.00 4.52210e+04
4031.00 4.54014e+04
4036.00 4.56468e+04
4041.00 4.54816e+04
4046.00 4.53039e+04
4051.00 4.46697e+04
4056.00 4.55389e+04
4061.00 4.58838e+04
4066.00 4.57037e+04
4071.00 4.57446e+04
4076.00 4.56695e+04
4081.00 4.55011e+04
4086.00 4.55904e+04
4091.00 4.56150e+04
4096.00 4.59962e+04
4101.00 4.57711e+04
4106.00 4.56952e+04
4111.00 4.60813e+04
4116.00 4.60288e+04
4121.00 4.56500e+04
4126.00 4.55468e+04
4131.00 4.59376e+04
4136.00 4.60110e+04
4141.00 4.56811e+04
4146.00 4.57143e+04
4151.00 4.54487e+04
4156.00 4.54913e+04
4161.00 4.55135e+04
4166.00 4.55577e+04
4171.00 4.52564e+04
4176.00 4.51244e+04
4181.00 4.52585e+04
4186.00 4.52039e+04
4191.00 4.49097e+04
4196.00 4.47495e+04
4201.00 4.43967e+04
4206.00 4.45496e+04
4211.00 4.46466e+04
4216.00 4.48949e+04
4221.00 4.49828e+04
4226.00 4.46715e+04
4231.00 4.45685e+04
4236.00 4.49336e+04
4241.00 4.48832e+04
4246.00 4.45636e+04
4251.00 4.42000e+04
4256.00 4.44288e+04
4261.00 4.44737e+04
4266.00 4.47845e+04
4271.00 4.43188e+04
4276.00 4.43098e+04
4281.00 4.41781e+04
4286.00 4.38704e+04
4291.00 4.36925e+04
4296.00 4.38060e+04
4301.00 4.39382e+04
4306.00 4.38948e+04
4311.00 4.35299e+04
4316.00 4.36911e+04
4321.00 4.35607e+04
4326.00 4.33735e+04
4331.00 4.33662e+04
4336.00 4.36835e+04
4341.00 4.35728e+04
4346.00 4.33399e+04
4351.00 4.38779e+04
4356.00 4.32350e+04
4361.00 4.29000e+04
4366.00 4.26828e+04
4371.00 4.28620e+04
4376.00 4.30800e+04
4381.00 4.32312e+04
4386.00 4.27876e+04
4391.00 4.20150e+04
4396.00 4.22245e+04
4401.00 4.21696e+04
4406.00 4.19793e+04
4411.00 4.18887e+04
4416.00 4.19716e+04
4421.00 4.21688e+04
4426.00 4.19467e+04
4431.00 4.18490e+04
4436.00 4.15241e+04
4441.00 4.17604e+04
4446.00 4.18935e+04
4451.00 4.17017e+04
4456.00 4.16369e+04
4461.00 4.13860e+04
4466.00 4.15821e+04
4471.00 4.14912e+04
4476.00 4.16337e+04
4481.00 4.12919e+04
4486.00 4.10229e+04
4491.00 4.15539e+04
4496.00 4.19064e+04
4501.00 4.16175e+04
4506.00 4.11959e+04
4511.00 4.12075e+04
4516.00 4.11254e+04
4521.00 4.07495e+04
4526.00 4.03744e+04
4531.00 4.03319e+04
4536.00 4.04053e+04
4541.00 4.04128e+04
4546.00 4.00865e+04
4551.00 4.04907e+04
4556.00 4.00340e+04
4561.00 4.03276e+04
4566.00 4.00057e+04
4571.00 4.00389e+04
4576.00 3.99026e+04
4581.00 3.96651e+04
4586.00 3.97494e+04
4591.00 3.96328e+04
4596.00 3.92676e+04
4601.00 3.93304e+04
4606.00 3.93631e+04
4611.00 3.95894e+04
4616.00 3.91075e+04
4621.00 3.93020e+04
4626.00 3.92152e+04
4631.00 3.91278e+04
4636.00 3.89753e+04
4641.00 3.86000e+04
4646.00 3.77944e+04
4651.00 3.79134e+04
4656.00 3.77311e+04
4661.00 3.77354e+04
4666.00 3.72089e+04
4671.00 3.73221e+04
4676.00 3.74073e+04
4681.00 3.67417e+04
4686.00 3.65502e+04
4691.00 3.66172e+04
4696.00 3.67956e+04
4701.00 3.66707e+04
4706.00 3.68465e+04
4711.00 3.69281e+04
4716.00 3.69289e+04
4721.00 3.68902e+04
4726.00 3.70733e+04
4731.00 3.69135e+04
4736.00 3.62571e+04
4741.00 3.62740e+04
4746.00 3.57773e+04
4751.00 3.56611e+04
4756.00 3.59775e+04
4761.00 3.56557e+04
4766.00 3.58693e+04
4771.00 3.47465e+04
4776.00 3.48645e+04
4781.00 3.53873e+04
4786.00 3.49045e+04
4791.00 3.47385e+04
4796.00 3.47623e+04
4801.00 3.49719e+04
4806.00 3.47415e+04
4811.00 3.46087e+04
4816.00 3.48690e+04
4821.00 3.49614e+04
4826.00 3.51662e+04
4831.00 3.48745e+04
4836.00 3.50327e+04
4841.00 3.45150e+04
4846.00 3.42404e+04
4851.00 3.38508e+04
4856.00 3.41341e+04
4861.00 3.39915e+04
4866.00 3.34457e+04
4871.00 3.28695e+04
4876.00 3.29294e+04
4881.00 3.22283e+04
4886.00 3.20797e+04
4891.00 3.22538e+04
4896.00 3.18511e+04
4901.00 3.15618e+04
4906.00 3.18385e+04
4911.00 3.13194e+04
4916.00 3.10917e+04
4921.00 3.12974e+04
4926.00 3.11383e+04
4931.00 3.07539e+04
4936.00 3.01487e+04
4941.00 2.91944e+04
4946.00 2.89765e+04
4951.00 2.70253e+04
4956.00 2.60435e+04
4961.00 2.40922e+04
4966.00 2.24903e+04
4971.00 2.12092e+04
4976.00 1.86239e+04
4981.00 1.68455e+04
4986.00 1.49307e+04
4991.00 1.32878e+04
4996.00 1.16512e+04
5001.00 1.01021e+04
5006.00 8.72374e+03
5011.00 7.78118e+03
5016.00 7.14815e+03
5021.00 6.12625e+03
5026.00 5.05800e+03
5031.00 4.78201e+03
5036.00 3.68626e+03
5041.00 3.10706e+03
5046.00 2.35718e+03
5051.00 2.25777e+03
5056.00 1.71494e+03
5061.00 1.30080e+03
5066.00 9.70777e+02
5071.00 7.83571e+02
5076.00 5.37807e+02
5081.00 3.58218e+02
5086.00 2.44663e+02
5091.00 1.81148e+02
5096.20 -3.29574e+02
5101.30 -1.31826e+01
5106.20 1.36013e+02
5111.50 7.90845e+02
5116.50 1.13912e+02
