# LSST transmission (instrument+atmosphere)
#   wavelength[nm] Thoughput
386.400000 0.000000
386.500000 0.000254
386.600000 0.000509
386.700000 0.001006
386.800000 0.001503
386.900000 0.002015
387.000000 0.002529
387.100000 0.003030
387.200000 0.003533
387.300000 0.004050
387.400000 0.004569
387.500000 0.005089
387.600000 0.005609
387.700000 0.006116
387.800000 0.006624
387.900000 0.007147
388.000000 0.007670
388.100000 0.008181
388.200000 0.008693
388.300000 0.009220
388.400000 0.009748
388.500000 0.010263
388.600000 0.010782
388.700000 0.011316
388.800000 0.011851
388.900000 0.012374
389.000000 0.012898
389.100000 0.013432
389.200000 0.013968
389.300000 0.014505
389.400000 0.015042
389.500000 0.015567
389.600000 0.016092
389.700000 0.016633
389.800000 0.017174
389.900000 0.017702
390.000000 0.018232
390.100000 0.018783
390.200000 0.019335
390.300000 0.019874
390.400000 0.020415
390.500000 0.020971
390.600000 0.021522
390.700000 0.022075
390.800000 0.022628
390.900000 0.023169
391.000000 0.023711
391.100000 0.024266
391.200000 0.024822
391.300000 0.025365
391.400000 0.025908
391.500000 0.026735
391.600000 0.027563
391.700000 0.028647
391.800000 0.029732
391.900000 0.030820
392.000000 0.031910
392.100000 0.033011
392.200000 0.034115
392.300000 0.035221
392.400000 0.036330
392.500000 0.037442
392.600000 0.038545
392.700000 0.039650
392.800000 0.040758
392.900000 0.041867
393.000000 0.042978
393.100000 0.044106
393.200000 0.045237
393.300000 0.046355
393.400000 0.047475
393.500000 0.048598
393.600000 0.049736
393.700000 0.050876
393.800000 0.052020
393.900000 0.053166
394.000000 0.054314
394.100000 0.055449
394.200000 0.056586
394.300000 0.057726
394.400000 0.058867
394.500000 0.060010
394.600000 0.061156
394.700000 0.062304
394.800000 0.063453
394.900000 0.064620
395.000000 0.065789
395.100000 0.066941
395.200000 0.068095
395.300000 0.069251
395.400000 0.070410
395.500000 0.071571
395.600000 0.072734
395.700000 0.073899
395.800000 0.075066
395.900000 0.076236
396.000000 0.077408
396.100000 0.078605
396.200000 0.079804
396.300000 0.081006
396.400000 0.082210
396.500000 0.083432
396.600000 0.084633
396.700000 0.085821
396.800000 0.087011
396.900000 0.088203
397.000000 0.089396
397.100000 0.090593
397.200000 0.091792
397.300000 0.092993
397.400000 0.094195
397.500000 0.095398
397.600000 0.096603
397.700000 0.097810
397.800000 0.099018
397.900000 0.100228
398.000000 0.101439
398.100000 0.102664
398.200000 0.103890
398.300000 0.105102
398.400000 0.106317
398.500000 0.107533
398.600000 0.108781
398.700000 0.110031
398.800000 0.111284
398.900000 0.112539
399.000000 0.113796
399.100000 0.115024
399.200000 0.116254
399.300000 0.117485
399.400000 0.118718
399.500000 0.119954
399.600000 0.121191
399.700000 0.122430
399.800000 0.123672
399.900000 0.124930
400.000000 0.126190
400.100000 0.127430
400.200000 0.128672
400.300000 0.129916
400.400000 0.131162
400.500000 0.132409
400.600000 0.133658
400.700000 0.134909
400.800000 0.136161
400.900000 0.137416
401.000000 0.138672
401.100000 0.139965
401.200000 0.141260
401.300000 0.142558
401.400000 0.143858
401.500000 0.145176
401.600000 0.146457
401.700000 0.147724
401.800000 0.148993
401.900000 0.150263
402.000000 0.151535
402.100000 0.152816
402.200000 0.154098
402.300000 0.155383
402.400000 0.156669
402.500000 0.157958
402.600000 0.159248
402.700000 0.160540
402.800000 0.161833
402.900000 0.163129
403.000000 0.164427
403.100000 0.165746
403.200000 0.167067
403.300000 0.168375
403.400000 0.169684
403.500000 0.170995
403.600000 0.172309
403.700000 0.173624
403.800000 0.174941
403.900000 0.176260
404.000000 0.177581
404.100000 0.178884
404.200000 0.180188
404.300000 0.181494
404.400000 0.182801
404.500000 0.184110
404.600000 0.185471
404.700000 0.186834
404.800000 0.188199
404.900000 0.189583
405.000000 0.190969
405.100000 0.192298
405.200000 0.193628
405.300000 0.194961
405.400000 0.196295
405.500000 0.197631
405.600000 0.198969
405.700000 0.200308
405.800000 0.201650
405.900000 0.202993
406.000000 0.204338
406.100000 0.205689
406.200000 0.207043
406.300000 0.208398
406.400000 0.209755
406.500000 0.211130
406.600000 0.212507
406.700000 0.213870
406.800000 0.215234
406.900000 0.216601
407.000000 0.217969
407.100000 0.219329
407.200000 0.220691
407.300000 0.222054
407.400000 0.223419
407.500000 0.224786
407.600000 0.226155
407.700000 0.227525
407.800000 0.228897
407.900000 0.230271
408.000000 0.231647
408.100000 0.233046
408.200000 0.234447
408.300000 0.235834
408.400000 0.237223
408.500000 0.238613
408.600000 0.240005
408.700000 0.241400
408.800000 0.242795
408.900000 0.244193
409.000000 0.245593
409.100000 0.246983
409.200000 0.248376
409.300000 0.249770
409.400000 0.251166
409.500000 0.252563
409.600000 0.253963
409.700000 0.255364
409.800000 0.256766
409.900000 0.258187
410.000000 0.259610
410.100000 0.261015
410.200000 0.262422
410.300000 0.263831
410.400000 0.265241
410.500000 0.266653
410.600000 0.268138
410.700000 0.269626
410.800000 0.271115
410.900000 0.272608
411.000000 0.274102
411.100000 0.275534
411.200000 0.276967
411.300000 0.278402
411.400000 0.279839
411.500000 0.281294
411.600000 0.282751
411.700000 0.284193
411.800000 0.285637
411.900000 0.287083
412.000000 0.288530
412.100000 0.289966
412.200000 0.291403
412.300000 0.292373
412.400000 0.293344
412.500000 0.294149
412.600000 0.294954
412.700000 0.295778
412.800000 0.296602
412.900000 0.297427
413.000000 0.298253
413.100000 0.299076
413.200000 0.299901
413.300000 0.300743
413.400000 0.301586
413.500000 0.302414
413.600000 0.303242
413.700000 0.304088
413.800000 0.304935
413.900000 0.305766
414.000000 0.306598
414.100000 0.307432
414.200000 0.308267
414.300000 0.309086
414.400000 0.309906
414.500000 0.310744
414.600000 0.311582
414.700000 0.312421
414.800000 0.313262
414.900000 0.314086
415.000000 0.314911
415.100000 0.315743
415.200000 0.316576
415.300000 0.317392
415.400000 0.318210
415.500000 0.319045
415.600000 0.319882
415.700000 0.320548
415.800000 0.321214
415.900000 0.321403
416.000000 0.321591
416.100000 0.321805
416.200000 0.322020
416.300000 0.322234
416.400000 0.322449
416.500000 0.322663
416.600000 0.322878
416.700000 0.323093
416.800000 0.323308
416.900000 0.323523
417.000000 0.323739
417.100000 0.323919
417.200000 0.324100
417.300000 0.324281
417.400000 0.324462
417.500000 0.324643
417.600000 0.324824
417.700000 0.325005
417.800000 0.325186
417.900000 0.325367
418.000000 0.325549
418.100000 0.325752
418.200000 0.325956
418.300000 0.326160
418.400000 0.326364
418.500000 0.326568
418.600000 0.326772
418.700000 0.326976
418.800000 0.327180
418.900000 0.327384
419.000000 0.327589
419.100000 0.327786
419.200000 0.327983
419.300000 0.328181
419.400000 0.328378
419.500000 0.328576
419.600000 0.328774
419.700000 0.328971
419.800000 0.329169
419.900000 0.329367
420.000000 0.329565
420.100000 0.329751
420.200000 0.329936
420.300000 0.330122
420.400000 0.330308
420.500000 0.330494
420.600000 0.330680
420.700000 0.330866
420.800000 0.331052
420.900000 0.331238
421.000000 0.331424
421.100000 0.331608
421.200000 0.331792
421.300000 0.331976
421.400000 0.332160
421.500000 0.332344
421.600000 0.332529
421.700000 0.332713
421.800000 0.332897
421.900000 0.333082
422.000000 0.333266
422.100000 0.333450
422.200000 0.333635
422.300000 0.333819
422.400000 0.334003
422.500000 0.334188
422.600000 0.334373
422.700000 0.334557
