# LSST transmission (instrument+atmosphere)
#   wavelength[nm] Thoughput
676.000000 0.000000
676.100000 0.000938
676.200000 0.001876
676.300000 0.002815
676.400000 0.003754
676.500000 0.004669
676.600000 0.005583
676.700000 0.006522
676.800000 0.007461
676.900000 0.008399
677.000000 0.009338
677.100000 0.010277
677.200000 0.011216
677.300000 0.012130
677.400000 0.013044
677.500000 0.013983
677.600000 0.014925
677.700000 0.015868
677.800000 0.016810
677.900000 0.017754
678.000000 0.018698
678.100000 0.019613
678.200000 0.020528
678.300000 0.021468
678.400000 0.022408
678.500000 0.023348
678.600000 0.024288
678.700000 0.025229
678.800000 0.026169
678.900000 0.027084
679.000000 0.027999
679.100000 0.028939
679.200000 0.029879
679.300000 0.030819
679.400000 0.031759
679.500000 0.032699
679.600000 0.033639
679.700000 0.034554
679.800000 0.035469
679.900000 0.036409
680.000000 0.037348
680.100000 0.038294
680.200000 0.039240
680.300000 0.040186
680.400000 0.041132
680.500000 0.042054
680.600000 0.042967
680.700000 0.043905
680.800000 0.044843
680.900000 0.045780
681.000000 0.046717
681.100000 0.048596
681.200000 0.050475
681.300000 0.052329
681.400000 0.054183
681.500000 0.056062
681.600000 0.057940
681.700000 0.059794
681.800000 0.061647
681.900000 0.063525
682.000000 0.065403
682.100000 0.067254
682.200000 0.069104
682.300000 0.070979
682.400000 0.072853
682.500000 0.074703
682.600000 0.076568
682.700000 0.078458
682.800000 0.080349
682.900000 0.082216
683.000000 0.084083
683.100000 0.085958
683.200000 0.087832
683.300000 0.089682
683.400000 0.091531
683.500000 0.093405
683.600000 0.095278
683.700000 0.097127
683.800000 0.098975
683.900000 0.100848
684.000000 0.102721
684.100000 0.104569
684.200000 0.106417
684.300000 0.108289
684.400000 0.110160
684.500000 0.112007
684.600000 0.113853
684.700000 0.115723
684.800000 0.117593
684.900000 0.119437
685.000000 0.121281
685.100000 0.123150
685.200000 0.125018
685.300000 0.126861
685.400000 0.128703
685.500000 0.130570
685.600000 0.132297
685.700000 0.133995
685.800000 0.135689
685.900000 0.137402
686.000000 0.139112
686.100000 0.139605
686.200000 0.140062
686.300000 0.140459
686.400000 0.140820
686.500000 0.141169
686.600000 0.139326
686.700000 0.137372
686.800000 0.135329
686.900000 0.133219
687.000000 0.131020
687.100000 0.130728
687.200000 0.130394
687.300000 0.130038
687.400000 0.129639
687.500000 0.129179
687.600000 0.132805
687.700000 0.136498
687.800000 0.140240
687.900000 0.144009
688.000000 0.147826
688.100000 0.151304
688.200000 0.154821
688.300000 0.158357
688.400000 0.161932
688.500000 0.165569
688.600000 0.166678
688.700000 0.167754
688.800000 0.168820
688.900000 0.169895
689.000000 0.170960
689.100000 0.172566
689.200000 0.174171
689.300000 0.175798
689.400000 0.177425
689.500000 0.179031
689.600000 0.181462
689.700000 0.183929
689.800000 0.186411
689.900000 0.188887
690.000000 0.191377
690.100000 0.193758
690.200000 0.196152
690.300000 0.198537
690.400000 0.200933
690.500000 0.203365
690.600000 0.205904
690.700000 0.208435
690.800000 0.210979
690.900000 0.213560
691.000000 0.216156
691.100000 0.218532
691.200000 0.220920
691.300000 0.223294
691.400000 0.225678
691.500000 0.228095
691.600000 0.230471
691.700000 0.232833
691.800000 0.235203
691.900000 0.237607
692.000000 0.240020
692.100000 0.242336
692.200000 0.244659
692.300000 0.247014
692.400000 0.249377
692.500000 0.251724
692.600000 0.253968
692.700000 0.256243
692.800000 0.258525
692.900000 0.260789
693.000000 0.263059
693.100000 0.265063
693.200000 0.267069
693.300000 0.269054
693.400000 0.271041
693.500000 0.273055
693.600000 0.274895
693.700000 0.276710
693.800000 0.278526
693.900000 0.280366
694.000000 0.282206
694.100000 0.284057
694.200000 0.285910
694.300000 0.287787
694.400000 0.289664
694.500000 0.291518
694.600000 0.293561
694.700000 0.295631
694.800000 0.297704
694.900000 0.299755
695.000000 0.301809
695.100000 0.303774
695.200000 0.305741
695.300000 0.307684
695.400000 0.309629
695.500000 0.311600
695.600000 0.313440
695.700000 0.315255
695.800000 0.317069
695.900000 0.318908
696.000000 0.320747
696.100000 0.322980
696.200000 0.325217
696.300000 0.327435
696.400000 0.329656
696.500000 0.331907
696.600000 0.334232
696.700000 0.336538
696.800000 0.338848
696.900000 0.341189
697.000000 0.343535
697.100000 0.345446
697.200000 0.347358
697.300000 0.349295
697.400000 0.351233
697.500000 0.353147
697.600000 0.354913
697.700000 0.356703
697.800000 0.358492
697.900000 0.360256
698.000000 0.362019
698.100000 0.363630
698.200000 0.365239
698.300000 0.366821
698.400000 0.368400
698.500000 0.370001
698.600000 0.371443
698.700000 0.372856
698.800000 0.374265
698.900000 0.375695
699.000000 0.377121
699.100000 0.378935
699.200000 0.380748
699.300000 0.382586
699.400000 0.384424
699.500000 0.386238
699.600000 0.388215
699.700000 0.390218
699.800000 0.392223
699.900000 0.394205
700.000000 0.396188
700.100000 0.398041
700.200000 0.399894
700.300000 0.401723
700.400000 0.403552
700.500000 0.405405
700.600000 0.407258
700.700000 0.409086
700.800000 0.410915
700.900000 0.412768
701.000000 0.414621
701.100000 0.416462
701.200000 0.418304
701.300000 0.420120
701.400000 0.421937
701.500000 0.423778
701.600000 0.425709
701.700000 0.427396
701.800000 0.429083
701.900000 0.430064
702.000000 0.431044
702.100000 0.431968
702.200000 0.432892
702.300000 0.433816
702.400000 0.434739
702.500000 0.435663
702.600000 0.436771
702.700000 0.437855
702.800000 0.438939
702.900000 0.440049
703.000000 0.441160
703.100000 0.442471
703.200000 0.443784
703.300000 0.445098
703.400000 0.446414
703.500000 0.447707
703.600000 0.448626
703.700000 0.449569
703.800000 0.450512
703.900000 0.451456
704.000000 0.452399
704.100000 0.453316
704.200000 0.454232
704.300000 0.455149
704.400000 0.456065
704.500000 0.456957
704.600000 0.457848
704.700000 0.458764
704.800000 0.459680
704.900000 0.460596
705.000000 0.461512
705.100000 0.462431
705.200000 0.463349
705.300000 0.463555
