# LSST transmission (instrument+atmosphere)
#   wavelength[nm] Thoughput
537.000000 0.000000
537.100000 0.000820
537.200000 0.001640
537.300000 0.002461
537.400000 0.003281
537.500000 0.004102
537.600000 0.004924
537.700000 0.005768
537.800000 0.006612
537.900000 0.007436
538.000000 0.008260
538.100000 0.009081
538.200000 0.009903
538.300000 0.010725
538.400000 0.011546
538.500000 0.012368
538.600000 0.013190
538.700000 0.014011
538.800000 0.014833
538.900000 0.015676
539.000000 0.016520
539.100000 0.017342
539.200000 0.018165
539.300000 0.018987
539.400000 0.019810
539.500000 0.020632
539.600000 0.021455
539.700000 0.022277
539.800000 0.023100
539.900000 0.023922
540.000000 0.024745
540.100000 0.025588
540.200000 0.026431
540.300000 0.027253
540.400000 0.028074
540.500000 0.028895
540.600000 0.029709
540.700000 0.030523
540.800000 0.031336
540.900000 0.032149
541.000000 0.032961
541.100000 0.033783
541.200000 0.034603
541.300000 0.035446
541.400000 0.036289
541.500000 0.037109
541.600000 0.037931
541.700000 0.038752
541.800000 0.039573
541.900000 0.040394
542.000000 0.041215
542.100000 0.042856
542.200000 0.044498
542.300000 0.046161
542.400000 0.047824
542.500000 0.049466
542.600000 0.051119
542.700000 0.052773
542.800000 0.054427
542.900000 0.056104
543.000000 0.057781
543.100000 0.059425
543.200000 0.061069
543.300000 0.062712
543.400000 0.064356
543.500000 0.066021
543.600000 0.067687
543.700000 0.069331
543.800000 0.070974
543.900000 0.072618
544.000000 0.074262
544.100000 0.075930
544.200000 0.077597
544.300000 0.079244
544.400000 0.080891
544.500000 0.082538
544.600000 0.084186
544.700000 0.085833
544.800000 0.087482
544.900000 0.089152
545.000000 0.090823
545.100000 0.092465
545.200000 0.094108
545.300000 0.095750
545.400000 0.097393
545.500000 0.099058
545.600000 0.100722
545.700000 0.102365
545.800000 0.104008
545.900000 0.105651
546.000000 0.107294
546.100000 0.108969
546.200000 0.110644
546.300000 0.112297
546.400000 0.113951
546.500000 0.115605
546.600000 0.117259
546.700000 0.118935
546.800000 0.120612
546.900000 0.122267
547.000000 0.123922
547.100000 0.125607
547.200000 0.127292
547.300000 0.129000
547.400000 0.130710
547.500000 0.132398
547.600000 0.134058
547.700000 0.135717
547.800000 0.137377
547.900000 0.139059
548.000000 0.140741
548.100000 0.142393
548.200000 0.144046
548.300000 0.145698
548.400000 0.147350
548.500000 0.149024
548.600000 0.150699
548.700000 0.152351
548.800000 0.154004
548.900000 0.155657
549.000000 0.157309
549.100000 0.158984
549.200000 0.160659
549.300000 0.162312
549.400000 0.163966
549.500000 0.165619
549.600000 0.167310
549.700000 0.169002
549.800000 0.170695
549.900000 0.172411
550.000000 0.174127
550.100000 0.175788
550.200000 0.177449
550.300000 0.179111
550.400000 0.180773
550.500000 0.182456
550.600000 0.184140
550.700000 0.185802
550.800000 0.187464
550.900000 0.189127
551.000000 0.190790
551.100000 0.192474
551.200000 0.194158
551.300000 0.195821
551.400000 0.197484
551.500000 0.199148
551.600000 0.200811
551.700000 0.202497
551.800000 0.204182
551.900000 0.205846
552.000000 0.207510
552.100000 0.209173
552.200000 0.210835
552.300000 0.212519
552.400000 0.214204
552.500000 0.215866
552.600000 0.217529
552.700000 0.219192
552.800000 0.220856
552.900000 0.222541
553.000000 0.224226
553.100000 0.225893
553.200000 0.227561
553.300000 0.229229
553.400000 0.230897
553.500000 0.232587
553.600000 0.234278
553.700000 0.235946
553.800000 0.237615
553.900000 0.239284
554.000000 0.240954
554.100000 0.242646
554.200000 0.244339
554.300000 0.246009
554.400000 0.247681
554.500000 0.249352
554.600000 0.251080
554.700000 0.252809
554.800000 0.254539
554.900000 0.256292
555.000000 0.258046
555.100000 0.259713
555.200000 0.261380
555.300000 0.263047
555.400000 0.264714
555.500000 0.266403
555.600000 0.268093
555.700000 0.269760
555.800000 0.271428
555.900000 0.273096
556.000000 0.274764
556.100000 0.276408
556.200000 0.278051
556.300000 0.279672
556.400000 0.281292
556.500000 0.282912
556.600000 0.284596
556.700000 0.286302
556.800000 0.288008
556.900000 0.289693
557.000000 0.291378
557.100000 0.293067
557.200000 0.294756
557.300000 0.296468
557.400000 0.298179
557.500000 0.299870
557.600000 0.301561
557.700000 0.303252
557.800000 0.304943
557.900000 0.306657
558.000000 0.308371
558.100000 0.310034
558.200000 0.311696
558.300000 0.313358
558.400000 0.315021
558.500000 0.316705
558.600000 0.318390
558.700000 0.320052
558.800000 0.321715
558.900000 0.323377
559.000000 0.325040
559.100000 0.326739
559.200000 0.328438
559.300000 0.330115
559.400000 0.331792
559.500000 0.333470
559.600000 0.335072
559.700000 0.336674
559.800000 0.338275
559.900000 0.339897
560.000000 0.341519
560.100000 0.343217
560.200000 0.344917
560.300000 0.346616
560.400000 0.348316
560.500000 0.350038
560.600000 0.351761
560.700000 0.353462
560.800000 0.355163
560.900000 0.356865
561.000000 0.358567
561.100000 0.360263
561.200000 0.361959
561.300000 0.363633
561.400000 0.365307
561.500000 0.366982
561.600000 0.368573
561.700000 0.370185
561.800000 0.371797
561.900000 0.373386
562.000000 0.374975
562.100000 0.376646
562.200000 0.378318
562.300000 0.380011
562.400000 0.381704
562.500000 0.383376
562.600000 0.385047
562.700000 0.386522
562.800000 0.387998
562.900000 0.388840
563.000000 0.389682
563.100000 0.390552
563.200000 0.391423
563.300000 0.392294
563.400000 0.393166
563.500000 0.394037
563.600000 0.394909
563.700000 0.395802
563.800000 0.396696
563.900000 0.397568
564.000000 0.398441
564.100000 0.399212
564.200000 0.399982
564.300000 0.400753
564.400000 0.401523
564.500000 0.402293
564.600000 0.403154
564.700000 0.404015
564.800000 0.404876
564.900000 0.405737
565.000000 0.406599
565.100000 0.407482
565.200000 0.408366
565.300000 0.409228
565.400000 0.410090
565.500000 0.410952
565.600000 0.411814
565.700000 0.412677
565.800000 0.413539
565.900000 0.414402
566.000000 0.415265
566.100000 0.416143
566.200000 0.417022
566.300000 0.417288
566.400000 0.417555
566.500000 0.417602
566.600000 0.417650
566.700000 0.417697
566.800000 0.417745
566.900000 0.417792
567.000000 0.417840
567.100000 0.417850
567.200000 0.417860
567.300000 0.417869
567.400000 0.417879
567.500000 0.417889
567.600000 0.417899
567.700000 0.417909
567.800000 0.417919
567.900000 0.417929
568.000000 0.417939
568.100000 0.417881
568.200000 0.417824
568.300000 0.417767
568.400000 0.417710
568.500000 0.417653
568.600000 0.417596
568.700000 0.417539
568.800000 0.417482
568.900000 0.417425
569.000000 0.417368
569.100000 0.417398
569.200000 0.417428
569.300000 0.417458
569.400000 0.417489
569.500000 0.417519
569.600000 0.417549
569.700000 0.417579
569.800000 0.417609
569.900000 0.417640
570.000000 0.417670
570.100000 0.417802
570.200000 0.417934
570.300000 0.418066
570.400000 0.418198
570.500000 0.418330
570.600000 0.418368
570.700000 0.418405
570.800000 0.418443
570.900000 0.418480
571.000000 0.418517
571.100000 0.418566
571.200000 0.418615
571.300000 0.418664
571.400000 0.418713
571.500000 0.418762
571.600000 0.418810
571.700000 0.418859
571.800000 0.418908
571.900000 0.418957
572.000000 0.419006
572.100000 0.419024
572.200000 0.419043
572.300000 0.419061
572.400000 0.419079
572.500000 0.419098
572.600000 0.419116
572.700000 0.419135
572.800000 0.419153
572.900000 0.419172
573.000000 0.419190
573.100000 0.419316
573.200000 0.419443
573.300000 0.419569
573.400000 0.419695
573.500000 0.419822
573.600000 0.419853
573.700000 0.419885
573.800000 0.419916
573.900000 0.419948
574.000000 0.419979
574.100000 0.420011
574.200000 0.420042
574.300000 0.420074
574.400000 0.420106
574.500000 0.420138
574.600000 0.420169
574.700000 0.420201
574.800000 0.420233
574.900000 0.420264
575.000000 0.420296
575.100000 0.420424
575.200000 0.420552
575.300000 0.420680
575.400000 0.420808
575.500000 0.420936
575.600000 0.420968
575.700000 0.421001
575.800000 0.421034
575.900000 0.421067
576.000000 0.421099
576.100000 0.421226
576.200000 0.421353
576.300000 0.421480
576.400000 0.421607
576.500000 0.421734
576.600000 0.421765
576.700000 0.421797
576.800000 0.421829
576.900000 0.421860
577.000000 0.421892
577.100000 0.422005
577.200000 0.422118
577.300000 0.422232
577.400000 0.422345
577.500000 0.422458
577.600000 0.422476
577.700000 0.422494
577.800000 0.422512
577.900000 0.422530
578.000000 0.422548
578.100000 0.422684
578.200000 0.422820
578.300000 0.422956
578.400000 0.423093
578.500000 0.423229
578.600000 0.423269
578.700000 0.423310
578.800000 0.423351
578.900000 0.423392
579.000000 0.423433
579.100000 0.423559
579.200000 0.423686
579.300000 0.423812
579.400000 0.423939
579.500000 0.424065
579.600000 0.424097
579.700000 0.424128
579.800000 0.424159
579.900000 0.424190
580.000000 0.424221
580.100000 0.424238
580.200000 0.424255
580.300000 0.424273
580.400000 0.424290
580.500000 0.424307
580.600000 0.424419
580.700000 0.424532
580.800000 0.424644
580.900000 0.424757
581.000000 0.424870
581.100000 0.424890
581.200000 0.424910
581.300000 0.424930
581.400000 0.424950
581.500000 0.424970
581.600000 0.425086
581.700000 0.425202
581.800000 0.425318
581.900000 0.425433
582.000000 0.425549
582.100000 0.425565
582.200000 0.425581
582.300000 0.425597
582.400000 0.425613
582.500000 0.425629
582.600000 0.425740
582.700000 0.425852
582.800000 0.425964
582.900000 0.426075
583.000000 0.426187
583.100000 0.426216
583.200000 0.426245
583.300000 0.426274
583.400000 0.426303
583.500000 0.426332
583.600000 0.426361
583.700000 0.426389
583.800000 0.426418
583.900000 0.426446
584.000000 0.426475
584.100000 0.426522
584.200000 0.426569
584.300000 0.426617
584.400000 0.426665
584.500000 0.426714
584.600000 0.426858
584.700000 0.427003
584.800000 0.427148
584.900000 0.427294
585.000000 0.427441
585.100000 0.427468
585.200000 0.427495
585.300000 0.427523
585.400000 0.427553
585.500000 0.427583
585.600000 0.427614
585.700000 0.427647
585.800000 0.427681
585.900000 0.427715
586.000000 0.427751
586.100000 0.427775
586.200000 0.427800
586.300000 0.427826
586.400000 0.427851
586.500000 0.427877
586.600000 0.427902
586.700000 0.427928
586.800000 0.427953
586.900000 0.427979
587.000000 0.428005
587.100000 0.427959
587.200000 0.427914
587.300000 0.427868
587.400000 0.427823
587.500000 0.427777
587.600000 0.427634
587.700000 0.427492
587.800000 0.427350
587.900000 0.427209
588.000000 0.427067
588.100000 0.426824
588.200000 0.426580
588.300000 0.426337
588.400000 0.426094
588.500000 0.425852
588.600000 0.425706
588.700000 0.425561
588.800000 0.425416
588.900000 0.425271
589.000000 0.425125
589.100000 0.425164
589.200000 0.425201
589.300000 0.425237
589.400000 0.425271
589.500000 0.425304
589.600000 0.425239
589.700000 0.425172
589.800000 0.425103
589.900000 0.425032
590.000000 0.424959
590.100000 0.425174
590.200000 0.425387
590.300000 0.425599
590.400000 0.425808
590.500000 0.426016
590.600000 0.426221
590.700000 0.426426
590.800000 0.426628
590.900000 0.426829
591.000000 0.427029
591.100000 0.426939
591.200000 0.426849
591.300000 0.426758
591.400000 0.426667
591.500000 0.426578
591.600000 0.426393
591.700000 0.426208
591.800000 0.426023
591.900000 0.425839
592.000000 0.425655
592.100000 0.425675
592.200000 0.425696
592.300000 0.425716
592.400000 0.425737
592.500000 0.425758
592.600000 0.426068
592.700000 0.426377
592.800000 0.426686
592.900000 0.426995
593.000000 0.427304
593.100000 0.427426
593.200000 0.427549
593.300000 0.427671
593.400000 0.427794
593.500000 0.427917
593.600000 0.427750
593.700000 0.427583
593.800000 0.427417
593.900000 0.427250
594.000000 0.427085
594.100000 0.426709
594.200000 0.426335
594.300000 0.425961
594.400000 0.425590
594.500000 0.425219
594.600000 0.425428
594.700000 0.425639
594.800000 0.425851
594.900000 0.426064
595.000000 0.426279
595.100000 0.426600
595.200000 0.426923
595.300000 0.427248
595.400000 0.427574
595.500000 0.427901
595.600000 0.428038
595.700000 0.428175
595.800000 0.428315
595.900000 0.428455
596.000000 0.428597
596.100000 0.428646
596.200000 0.428696
596.300000 0.428746
596.400000 0.428796
596.500000 0.428847
596.600000 0.428800
596.700000 0.428753
596.800000 0.428706
596.900000 0.428660
597.000000 0.428613
597.100000 0.428671
597.200000 0.428728
597.300000 0.428786
597.400000 0.428843
597.500000 0.428900
597.600000 0.429054
