# LSST transmission (instrument+atmosphere)
#   wavelength[nm] Thoughput
320.000000 0.000000
320.100000 0.000329
320.200000 0.000689
320.300000 0.001081
320.400000 0.001505
320.500000 0.001963
320.600000 0.002460
320.700000 0.002996
320.800000 0.003571
320.900000 0.004188
321.000000 0.004846
321.100000 0.005034
321.200000 0.005226
321.300000 0.005422
321.400000 0.005622
321.500000 0.005825
321.600000 0.005992
321.700000 0.006160
321.800000 0.006330
321.900000 0.006502
322.000000 0.006674
322.100000 0.006876
322.200000 0.007080
322.300000 0.007287
322.400000 0.007496
322.500000 0.007708
322.600000 0.007988
322.700000 0.008276
322.800000 0.008570
322.900000 0.008870
323.000000 0.009177
323.100000 0.009531
323.200000 0.009893
323.300000 0.010264
323.400000 0.010643
323.500000 0.011031
323.600000 0.011356
323.700000 0.011688
323.800000 0.012025
323.900000 0.012369
324.000000 0.012717
324.100000 0.012997
324.200000 0.013278
324.300000 0.013560
324.400000 0.013845
324.500000 0.014130
324.600000 0.014411
324.700000 0.014693
324.800000 0.014977
324.900000 0.015263
325.000000 0.015550
325.100000 0.015950
325.200000 0.016357
325.300000 0.016769
325.400000 0.017187
325.500000 0.017610
325.600000 0.018115
325.700000 0.018631
325.800000 0.019157
325.900000 0.019692
326.000000 0.020236
326.100000 0.020772
326.200000 0.021318
326.300000 0.021872
326.400000 0.022436
326.500000 0.023007
326.600000 0.023473
326.700000 0.023945
326.800000 0.024422
326.900000 0.024904
327.000000 0.025390
327.100000 0.025811
327.200000 0.026233
327.300000 0.026658
327.400000 0.027085
327.500000 0.027512
327.600000 0.027966
327.700000 0.028425
327.800000 0.028887
327.900000 0.029352
328.000000 0.029819
328.100000 0.030466
328.200000 0.031121
328.300000 0.031785
328.400000 0.032458
328.500000 0.033138
328.600000 0.033902
328.700000 0.034679
328.800000 0.035468
328.900000 0.036269
329.000000 0.037082
329.100000 0.037783
329.200000 0.038493
329.300000 0.039211
329.400000 0.039938
329.500000 0.040670
329.600000 0.041273
329.700000 0.041884
329.800000 0.042499
329.900000 0.043119
330.000000 0.043744
330.100000 0.044272
330.200000 0.044804
330.300000 0.045337
330.400000 0.045873
330.500000 0.046409
330.600000 0.047006
330.700000 0.047611
330.800000 0.048220
330.900000 0.048832
331.000000 0.049448
331.100000 0.050193
331.200000 0.050944
331.300000 0.051618
331.400000 0.052298
331.500000 0.052958
331.600000 0.053735
331.700000 0.054517
331.800000 0.055306
331.900000 0.056103
332.000000 0.056907
332.100000 0.057591
332.200000 0.058280
332.300000 0.058971
332.400000 0.059668
332.500000 0.060373
332.600000 0.060961
332.700000 0.061549
332.800000 0.062140
332.900000 0.062735
333.000000 0.063333
333.100000 0.063785
333.200000 0.064239
333.300000 0.064691
333.400000 0.065143
333.500000 0.065600
333.600000 0.066139
333.700000 0.066675
333.800000 0.067213
333.900000 0.067754
334.000000 0.068298
334.100000 0.069006
334.200000 0.069719
334.300000 0.070434
334.400000 0.071154
334.500000 0.071885
334.600000 0.072649
334.700000 0.073380
334.800000 0.074117
334.900000 0.074748
335.000000 0.075383
335.100000 0.075903
335.200000 0.076426
335.300000 0.076951
335.400000 0.077480
335.500000 0.078011
335.600000 0.078454
335.700000 0.078898
335.800000 0.079345
335.900000 0.079793
336.000000 0.080242
336.100000 0.080578
336.200000 0.080915
336.300000 0.081251
336.400000 0.081588
336.500000 0.081925
336.600000 0.082262
336.700000 0.082599
336.800000 0.082937
336.900000 0.083275
337.000000 0.083613
337.100000 0.083990
337.200000 0.084368
337.300000 0.084747
337.400000 0.085126
337.500000 0.085507
337.600000 0.086055
337.700000 0.086605
337.800000 0.087158
337.900000 0.087712
338.000000 0.088270
338.100000 0.088799
338.200000 0.089331
338.300000 0.089864
338.400000 0.090400
338.500000 0.090937
338.600000 0.091373
338.700000 0.091811
338.800000 0.092250
338.900000 0.092690
339.000000 0.093131
339.100000 0.093532
339.200000 0.093934
339.300000 0.094336
339.400000 0.094739
339.500000 0.095143
339.600000 0.095476
339.700000 0.095809
339.800000 0.096142
339.900000 0.096476
