# LSST transmission (instrument+atmosphere)
#   wavelength[nm] Thoughput
908.400000 0.000000
908.500000 0.000359
908.600000 0.000719
908.700000 0.001457
908.800000 0.002196
908.900000 0.002935
909.000000 0.003673
909.100000 0.004396
909.200000 0.005120
909.300000 0.005865
909.400000 0.006612
909.500000 0.007360
909.600000 0.008106
909.700000 0.008833
909.800000 0.009560
909.900000 0.010308
910.000000 0.011057
910.100000 0.011778
910.200000 0.012496
910.300000 0.013192
910.400000 0.013884
910.500000 0.014594
910.600000 0.015370
910.700000 0.016150
910.800000 0.016933
910.900000 0.017700
911.000000 0.018470
911.100000 0.019234
911.200000 0.019999
911.300000 0.020766
911.400000 0.021534
911.500000 0.022283
911.600000 0.022947
911.700000 0.023627
911.800000 0.024304
911.900000 0.024956
912.000000 0.025604
912.100000 0.026408
912.200000 0.027216
912.300000 0.028028
912.400000 0.028843
912.500000 0.029642
912.600000 0.030191
912.700000 0.030752
912.800000 0.031304
912.900000 0.031848
913.000000 0.032383
913.100000 0.032871
913.200000 0.033351
913.300000 0.033840
913.400000 0.034320
913.500000 0.035152
913.600000 0.036407
913.700000 0.038037
913.800000 0.039682
913.900000 0.041323
914.000000 0.042979
914.100000 0.044769
914.200000 0.046580
914.300000 0.048412
914.400000 0.050265
914.500000 0.052119
914.600000 0.053469
914.700000 0.054830
914.800000 0.056184
914.900000 0.057529
915.000000 0.058866
915.100000 0.059687
915.200000 0.060475
915.300000 0.061210
915.400000 0.061913
915.500000 0.062602
915.600000 0.064196
915.700000 0.065798
915.800000 0.067407
915.900000 0.069025
916.000000 0.070650
916.100000 0.072854
916.200000 0.075088
916.300000 0.077373
916.400000 0.079688
916.500000 0.082034
916.600000 0.083561
916.700000 0.085089
916.800000 0.086617
916.900000 0.088126
917.000000 0.089635
917.100000 0.090454
917.200000 0.091249
917.300000 0.092023
917.400000 0.092774
917.500000 0.093503
917.600000 0.094634
917.700000 0.095737
917.800000 0.096829
917.900000 0.097932
918.000000 0.099025
918.100000 0.101014
918.200000 0.103018
918.300000 0.105019
918.400000 0.107034
918.500000 0.109084
918.600000 0.111173
918.700000 0.113279
918.800000 0.115400
918.900000 0.117537
919.000000 0.119689
919.100000 0.121371
919.200000 0.123057
919.300000 0.124768
919.400000 0.126484
919.500000 0.128203
919.600000 0.129708
919.700000 0.131212
919.800000 0.132715
919.900000 0.134197
920.000000 0.135678
920.100000 0.137542
920.200000 0.139413
920.300000 0.141291
920.400000 0.143176
920.500000 0.145068
920.600000 0.146507
920.700000 0.147924
920.800000 0.149339
920.900000 0.150771
921.000000 0.152202
921.100000 0.153257
921.200000 0.154303
921.300000 0.155340
921.400000 0.156368
921.500000 0.157367
921.600000 0.158726
921.700000 0.160104
921.800000 0.161479
921.900000 0.162851
922.000000 0.164222
922.100000 0.165983
922.200000 0.167750
922.300000 0.169540
922.400000 0.171336
922.500000 0.173135
922.600000 0.174500
922.700000 0.175862
922.800000 0.177222
922.900000 0.178559
923.000000 0.179893
923.100000 0.181156
923.200000 0.182414
923.300000 0.183668
923.400000 0.184918
923.500000 0.186164
923.600000 0.187328
923.700000 0.188468
923.800000 0.189603
923.900000 0.190753
924.000000 0.191897
924.100000 0.193068
924.200000 0.194234
924.300000 0.195393
924.400000 0.196547
924.500000 0.197676
924.600000 0.198968
924.700000 0.200276
924.800000 0.201580
924.900000 0.202879
925.000000 0.204175
925.100000 0.205746
925.200000 0.207317
925.300000 0.208907
925.400000 0.210497
925.500000 0.212086
925.600000 0.213584
925.700000 0.215081
925.800000 0.216576
925.900000 0.218051
926.000000 0.219525
926.100000 0.220970
926.200000 0.222414
926.300000 0.223858
926.400000 0.225301
926.500000 0.226745
926.600000 0.228332
926.700000 0.229901
926.800000 0.231471
926.900000 0.233062
927.000000 0.234654
927.100000 0.234726
927.200000 0.234781
927.300000 0.234821
927.400000 0.234846
927.500000 0.234835
927.600000 0.234303
927.700000 0.233768
927.800000 0.233212
927.900000 0.232636
928.000000 0.232039
928.100000 0.232915
928.200000 0.233786
928.300000 0.234633
928.400000 0.235475
928.500000 0.236330
928.600000 0.236914
928.700000 0.237490
928.800000 0.238060
928.900000 0.238603
929.000000 0.239139
929.100000 0.239203
929.200000 0.239252
929.300000 0.239288
929.400000 0.239310
929.500000 0.239316
929.600000 0.238300
929.700000 0.237242
929.800000 0.236161
929.900000 0.235072
930.000000 0.233959
930.100000 0.233069
930.200000 0.232157
930.300000 0.231223
930.400000 0.230267
930.500000 0.229274
930.600000 0.228318
930.700000 0.227357
930.800000 0.226375
930.900000 0.225374
931.000000 0.224352
931.100000 0.223038
931.200000 0.221703
931.300000 0.220333
931.400000 0.218944
931.500000 0.217551
931.600000 0.214127
931.700000 0.210667
931.800000 0.207172
931.900000 0.203643
932.000000 0.200079
932.100000 0.199211
932.200000 0.198329
932.300000 0.197446
932.400000 0.196549
932.500000 0.195639
932.600000 0.196742
932.700000 0.197834
932.800000 0.198927
932.900000 0.200033
933.000000 0.201141
933.100000 0.200627
933.200000 0.200102
933.300000 0.199567
933.400000 0.199021
933.500000 0.198454
933.600000 0.194464
933.700000 0.190451
933.800000 0.186406
933.900000 0.182327
934.000000 0.178215
934.100000 0.177068
934.200000 0.175908
934.300000 0.174726
934.400000 0.173533
934.500000 0.172337
934.600000 0.178452
934.700000 0.184602
934.800000 0.190788
934.900000 0.197008
935.000000 0.203264
935.100000 0.205689
935.200000 0.208126
935.300000 0.210273
935.400000 0.212428
935.500000 0.214472
935.600000 0.213040
935.700000 0.211605
935.800000 0.210164
935.900000 0.208719
936.000000 0.207269
936.100000 0.208282
936.200000 0.209297
936.300000 0.210312
936.400000 0.211329
936.500000 0.212346
936.600000 0.211460
936.700000 0.210571
936.800000 0.209678
936.900000 0.208783
937.000000 0.207884
937.100000 0.210303
937.200000 0.212726
937.300000 0.215154
937.400000 0.217585
937.500000 0.220020
937.600000 0.221104
937.700000 0.222084
937.800000 0.223064
937.900000 0.223704
938.000000 0.224342
938.100000 0.225152
938.200000 0.225959
938.300000 0.226765
938.400000 0.227570
938.500000 0.228373
938.600000 0.234345
938.700000 0.240304
938.800000 0.246252
938.900000 0.252189
939.000000 0.258117
939.100000 0.264248
939.200000 0.270367
939.300000 0.276475
939.400000 0.282574
939.500000 0.288665
939.600000 0.287451
939.700000 0.286246
939.800000 0.285048
939.900000 0.283859
940.000000 0.282679
940.100000 0.279072
940.200000 0.275475
940.300000 0.271889
940.400000 0.268312
940.500000 0.264744
940.600000 0.264388
940.700000 0.264036
940.800000 0.263689
940.900000 0.263344
941.000000 0.263002
941.100000 0.264758
941.200000 0.266512
941.300000 0.268263
941.400000 0.270010
941.500000 0.271753
941.600000 0.271137
941.700000 0.270521
941.800000 0.269907
941.900000 0.269293
942.000000 0.268680
942.100000 0.263361
942.200000 0.258050
942.300000 0.252748
942.400000 0.247455
942.500000 0.242170
942.600000 0.238198
942.700000 0.234233
942.800000 0.230274
942.900000 0.226321
943.000000 0.222374
943.100000 0.225196
943.200000 0.228014
943.300000 0.230829
943.400000 0.233641
943.500000 0.236449
943.600000 0.233864
943.700000 0.231279
943.800000 0.228697
943.900000 0.226118
944.000000 0.223541
944.100000 0.221218
944.200000 0.218899
944.300000 0.216584
944.400000 0.214274
944.500000 0.211969
944.600000 0.217396
944.700000 0.222819
944.800000 0.228238
944.900000 0.233653
945.000000 0.239064
945.100000 0.239874
945.200000 0.240687
945.300000 0.241501
945.400000 0.242316
945.500000 0.243134
945.600000 0.239840
945.700000 0.236552
945.800000 0.233268
945.900000 0.229989
946.000000 0.226714
946.100000 0.227813
946.200000 0.228910
946.300000 0.230007
946.400000 0.231101
946.500000 0.232192
946.600000 0.235225
946.700000 0.238255
946.800000 0.241282
946.900000 0.244305
947.000000 0.247325
947.100000 0.246728
947.200000 0.246132
947.300000 0.245536
947.400000 0.244941
947.500000 0.244347
947.600000 0.239956
947.700000 0.235571
947.800000 0.231194
947.900000 0.226822
948.000000 0.222457
948.100000 0.224155
948.200000 0.225850
948.300000 0.227544
948.400000 0.229237
948.500000 0.230927
948.600000 0.236922
948.700000 0.242911
948.800000 0.248896
948.900000 0.254876
949.000000 0.260850
949.100000 0.257465
949.200000 0.254084
949.300000 0.250706
949.400000 0.247331
949.500000 0.243960
949.600000 0.239209
949.700000 0.234462
949.800000 0.229720
949.900000 0.224983
950.000000 0.220250
950.100000 0.223470
950.200000 0.226684
950.300000 0.229894
950.400000 0.233099
950.500000 0.236299
950.600000 0.242114
950.700000 0.247921
950.800000 0.253719
950.900000 0.259509
951.000000 0.265291
951.100000 0.264240
951.200000 0.263190
951.300000 0.262142
951.400000 0.261094
951.500000 0.260048
951.600000 0.253475
951.700000 0.246912
951.800000 0.240358
951.900000 0.233814
952.000000 0.227280
952.100000 0.225486
952.200000 0.223695
952.300000 0.221907
952.400000 0.220121
952.500000 0.218337
952.600000 0.221655
952.700000 0.224967
952.800000 0.228274
952.900000 0.231576
953.000000 0.234872
953.100000 0.236875
953.200000 0.238874
953.300000 0.240870
953.400000 0.242863
953.500000 0.244852
