# LSST transmission (instrument+atmosphere)
#   wavelength[nm] Thoughput
803.000000 0.000000
803.100000 0.000909
803.200000 0.001818
803.300000 0.002704
803.400000 0.003591
803.500000 0.004501
803.600000 0.005411
803.700000 0.006298
803.800000 0.007184
803.900000 0.008094
804.000000 0.009004
804.100000 0.009890
804.200000 0.010776
804.300000 0.011686
804.400000 0.012596
804.500000 0.013482
804.600000 0.014374
804.700000 0.015291
804.800000 0.016208
804.900000 0.017126
805.000000 0.018045
805.100000 0.018940
805.200000 0.019835
805.300000 0.020756
805.400000 0.021677
805.500000 0.022574
805.600000 0.023463
805.700000 0.024376
805.800000 0.025288
805.900000 0.026177
806.000000 0.027065
806.100000 0.027977
806.200000 0.028890
806.300000 0.029802
806.400000 0.030713
806.500000 0.031601
806.600000 0.032489
806.700000 0.033400
806.800000 0.034312
806.900000 0.035199
807.000000 0.036087
807.100000 0.036999
807.200000 0.037912
807.300000 0.038800
807.400000 0.039689
807.500000 0.040601
807.600000 0.041514
807.700000 0.042402
807.800000 0.043291
807.900000 0.044203
808.000000 0.045116
808.100000 0.046905
808.200000 0.048693
808.300000 0.050480
808.400000 0.052267
808.500000 0.054052
808.600000 0.055836
808.700000 0.057620
808.800000 0.059402
808.900000 0.061208
809.000000 0.063012
809.100000 0.064798
809.200000 0.066583
809.300000 0.068367
809.400000 0.070151
809.500000 0.071934
809.600000 0.073732
809.700000 0.075529
809.800000 0.077327
809.900000 0.079125
810.000000 0.080923
810.100000 0.082719
810.200000 0.084515
810.300000 0.086310
810.400000 0.088106
810.500000 0.089926
810.600000 0.091708
810.700000 0.093465
810.800000 0.095220
810.900000 0.096974
811.000000 0.098726
811.100000 0.100457
811.200000 0.102186
811.300000 0.103912
811.400000 0.105637
811.500000 0.107359
811.600000 0.109102
811.700000 0.110843
811.800000 0.112582
811.900000 0.114321
812.000000 0.116057
812.100000 0.117844
812.200000 0.119630
812.300000 0.121392
812.400000 0.123153
812.500000 0.124914
812.600000 0.126490
812.700000 0.128061
812.800000 0.129626
812.900000 0.131185
813.000000 0.132739
813.100000 0.134075
813.200000 0.135401
813.300000 0.136715
813.400000 0.138018
813.500000 0.139309
813.600000 0.140858
813.700000 0.142403
813.800000 0.143943
813.900000 0.145501
814.000000 0.147055
814.100000 0.148693
814.200000 0.150329
814.300000 0.151963
814.400000 0.153595
814.500000 0.155225
814.600000 0.156617
814.700000 0.158003
814.800000 0.159381
814.900000 0.160752
815.000000 0.162115
815.100000 0.163417
815.200000 0.164711
815.300000 0.165997
815.400000 0.167274
815.500000 0.168565
815.600000 0.169886
