# Effective area for Roman (m^2) - parameters as of 2021 06 14,,,,,,,,,,,
Wave,F062,F087,F106,F129,F158,F184,F146,F213,SNPrism,Grism_1stOrder,Grism_0thOrder
0.4,0,0,0,0,0,0,0,0,0,0,0
0.401,0,0,0,0,0,0,0,0,0,0,0
0.402,0,0,0,0,0,0,0,0,0,0,0
0.403,0,0,0,0,0,0,0,0,0,0,0
0.404,0,0,0,0,0,0,0,0,0,0,0
0.405,0,0,0,0,0,0,0,0,0,0,0
0.406,0,0,0,0,0,0,0,0,0,0,0
0.407,0,0,0,0,0,0,0,0,0,0,0
0.408,0,0,0,0,0,0,0,0,0,0,0
0.409,0,0,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0,0,0,0,0
0.411,0,0,0,0,0,0,0,0,0,0,0
0.412,0,0,0,0,0,0,0,0,0,0,0
0.413,0,0,0,0,0,0,0,0,0,0,0
0.414,0,0,0,0,0,0,0,0,0,0,0
0.415,0,0,0,0,0,0,0,0,0,0,0
0.416,0,0,0,0,0,0,0,0,0,0,0
0.417,0,0,0,0,0,0,0,0,0,0,0
0.418,0,0,0,0,0,0,0,0,0,0,0
0.419,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,0
0.421,0,0,0,0,0,0,0,0,0,0,0
0.422,0,0,0,0,0,0,0,0,0,0,0
0.423,0,0,0,0,0,0,0,0,0,0,0
0.424,0,0,0,0,0,0,0,0,0,0,0
0.425,0,0,0,0,0,0,0,0,0,0,0
0.426,0,0,0,0,0,0,0,0,0,0,0
0.427,0,0,0,0,0,0,0,0,0,0,0
0.428,0,0,0,0,0,0,0,0,0,0,0
0.429,0,0,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0,0,0,0,0
0.431,0,0,0,0,0,0,0,0,0,0,0
0.432,0,0,0,0,0,0,0,0,0,0,0
0.433,0,0,0,0,0,0,0,0,0,0,0
0.434,0,0,0,0,0,0,0,0,0,0,0
0.435,0,0,0,0,0,0,0,0,0,0,0
0.436,0,0,0,0,0,0,0,0,0,0,0
0.437,0,0,0,0,0,0,0,0,0,0,0
0.438,0,0,0,0,0,0,0,0,0,0,0
0.439,0,0,0,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,0,0,0,0,0
0.441,0,0,0,0,0,0,0,0,0,0,0
0.442,0,0,0,0,0,0,0,0,0,0,0
0.443,0,0,0,0,0,0,0,0,0,0,0
0.444,0,0,0,0,0,0,0,0,0,0,0
0.445,0,0,0,0,0,0,0,0,0,0,0
0.446,0,0,0,0,0,0,0,0,0,0,0
0.447,0,0,0,0,0,0,0,0,0,0,0
0.448,0,0,0,0,0,0,0,0,0,0,0
0.449,0,0,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0,0
0.451,0,0,0,0,0,0,0,0,0,0,0
0.452,0,0,0,0,0,0,0,0,0,0,0
0.453,0,0,0,0,0,0,0,0,0,0,0
0.454,0,0,0,0,0,0,0,0,0,0,0
0.455,0,0,0,0,0,0,0,0,0,0,0
0.456,0,0,0,0,0,0,0,0,0,0,0
0.457,0,0,0,0,0,0,0,0,0,0,0
0.458,0.0001,0,0,0,0,0,0,0,0,0,0
0.459,0.0001,0,0,0,0,0,0,0,0,0,0
0.46,0.0003,0,0,0,0,0,0,0,0,0,0
0.461,0.0005,0,0,0,0,0,0,0,0,0,0
0.462,0.0009,0,0,0,0,0,0,0,0,0,0
0.463,0.0017,0,0,0,0,0,0,0,0,0,0
0.464,0.003,0,0,0,0,0,0,0,0,0,0
0.465,0.0052,0,0,0,0,0,0,0,0,0,0
0.466,0.0088,0,0,0,0,0,0,0,0,0,0
0.467,0.0143,0,0,0,0,0,0,0,0,0,0
0.468,0.0226,0,0,0,0,0,0,0,0,0,0
0.469,0.0348,0,0,0,0,0,0,0,0,0,0
0.47,0.052,0,0,0,0,0,0,0,0,0,0
0.471,0.0756,0,0,0,0,0,0,0,0,0,0
0.472,0.1069,0,0,0,0,0,0,0,0,0,0
0.473,0.1473,0,0,0,0,0,0,0,0,0,0
0.474,0.1976,0,0,0,0,0,0,0,0,0,0
0.475,0.2583,0,0,0,0,0,0,0,0,0,0
0.476,0.3294,0,0,0,0,0,0,0,0,0,0
0.477,0.4099,0,0,0,0,0,0,0,0,0,0
0.478,0.4984,0,0,0,0,0,0,0,0,0,0
0.479,0.5924,0,0,0,0,0,0,0,0,0,0
0.48,0.6892,0,0,0,0,0,0,0,0,0,0
0.481,0.7849,0,0,0,0,0,0,0,0,0,0
0.482,0.8771,0,0,0,0,0,0,0,0,0,0
0.483,0.9629,0,0,0,0,0,0,0,0,0,0
0.484,1.0402,0,0,0,0,0,0,0,0,0,0
0.485,1.108,0,0,0,0,0,0,0,0,0,0
0.486,1.1651,0,0,0,0,0,0,0,0,0,0
0.487,1.2114,0,0,0,0,0,0,0,0,0,0
