# wavelength surface_brightness
# wavelength unit: Angstrom
# surface brightness unit: 1e-17 erg A-1 s-1 cm-2 arcsec-2
3.523000e+03 1.000000e-16
3.523800e+03 1.000000e-16
3.524600e+03 1.000000e-16
3.525400e+03 1.000000e-16
3.526200e+03 1.000000e-16
3.527000e+03 1.000000e-16
3.527800e+03 1.000000e-16
3.528600e+03 1.000000e-16
3.529400e+03 1.000000e-16
3.530200e+03 1.000000e-16
3.531000e+03 1.000000e-16
3.531800e+03 1.000000e-16
3.532600e+03 1.000000e-16
3.533400e+03 1.000000e-16
3.534200e+03 1.000000e-16
3.535000e+03 1.000000e-16
3.535800e+03 1.000000e-16
3.536600e+03 1.000000e-16
3.537400e+03 1.000000e-16
3.538200e+03 1.000000e-16
3.539000e+03 1.000000e-16
3.539800e+03 1.000000e-16
3.540600e+03 1.000000e-16
3.541400e+03 1.000000e-16
3.542200e+03 1.000000e-16
3.543000e+03 1.000000e-16
3.543800e+03 1.000000e-16
3.544600e+03 1.000000e-16
3.545400e+03 1.000000e-16
3.546200e+03 1.000000e-16
3.547000e+03 1.000000e-16
3.547800e+03 1.000000e-16
3.548600e+03 1.000000e-16
3.549400e+03 1.000000e-16
3.550200e+03 1.000000e-16
3.551000e+03 1.000000e-16
3.551800e+03 1.000000e-16
3.552600e+03 1.000000e-16
3.553400e+03 1.000000e-16
3.554200e+03 1.000000e-16
3.555000e+03 1.000000e-16
3.555800e+03 1.000000e-16
3.556600e+03 1.000000e-16
3.557400e+03 1.000000e-16
3.558200e+03 1.000000e-16
3.559000e+03 1.000000e-16
3.559800e+03 1.000000e-16
3.560600e+03 1.000000e-16
3.561400e+03 1.000000e-16
3.562200e+03 1.000000e-16
3.563000e+03 1.000000e-16
3.563800e+03 1.000000e-16
3.564600e+03 1.000000e-16
3.565400e+03 1.000000e-16
3.566200e+03 1.000000e-16
3.567000e+03 1.000000e-16
3.567800e+03 1.000000e-16
3.568600e+03 1.000000e-16
3.569400e+03 1.000000e-16
3.570200e+03 1.000000e-16
3.571000e+03 1.000000e-16
3.571800e+03 1.000000e-16
3.572600e+03 1.000000e-16
3.573400e+03 1.000000e-16
3.574200e+03 1.000000e-16
3.575000e+03 1.000000e-16
3.575800e+03 1.000000e-16
3.576600e+03 1.000000e-16
3.577400e+03 1.000000e-16
3.578200e+03 1.000000e-16
3.579000e+03 1.000000e-16
3.579800e+03 1.000000e-16
3.580600e+03 1.000000e-16
3.581400e+03 1.000000e-16
3.582200e+03 1.000000e-16
3.583000e+03 1.000000e-16
3.583800e+03 1.000000e-16
3.584600e+03 1.000000e-16
3.585400e+03 1.000000e-16
3.586200e+03 1.000000e-16
3.587000e+03 1.000000e-16
3.587800e+03 1.000000e-16
3.588600e+03 1.000000e-16
3.589400e+03 1.000000e-16
3.590200e+03 1.000000e-16
3.591000e+03 1.000000e-16
3.591800e+03 1.000000e-16
3.592600e+03 1.000000e-16
3.593400e+03 1.000000e-16
3.594200e+03 1.000000e-16
3.595000e+03 1.000000e-16
3.595800e+03 1.000000e-16
3.596600e+03 1.000000e-16
3.597400e+03 1.000000e-16
3.598200e+03 1.000000e-16
3.599000e+03 1.000000e-16
3.599800e+03 1.000000e-16
3.600600e+03 3.244341e+00
3.601400e+03 3.422796e+00
3.602200e+03 3.319386e+00
