#         WAVE          FLUX
#------------- -------------
     3500.000      22.03476
     3500.100      22.31329
     3500.200      22.79463
     3500.300      22.90466
     3500.400      22.73180
     3500.500      22.74103
     3500.600      22.98387
     3500.700      23.42801
     3500.800      23.75464
     3500.900      23.79437
     3501.000      23.56551
     3501.100      22.84834
     3501.200      22.20048
     3501.300      21.95721
     3501.400      21.90125
     3501.500      21.86518
     3501.600      21.77302
     3501.700      21.75945
     3501.800      21.79019
     3501.900      21.78322
     3502.000      21.79316
     3502.100      21.82199
     3502.200      21.84443
     3502.300      21.82107
     3502.400      21.81890
     3502.500      21.82854
     3502.600      21.91878
     3502.700      22.02051
     3502.800      21.95125
     3502.900      21.86019
     3503.000      21.83312
     3503.100      21.86986
     3503.200      22.18110
     3503.300      22.63533
     3503.400      22.68597
     3503.500      22.39621
     3503.600      22.46235
     3503.700      22.97248
     3503.800      23.14482
     3503.900      22.73076
     3504.000      22.33100
     3504.100      22.13053
     3504.200      21.95127
     3504.300      21.74481
     3504.400      21.68455
     3504.500      21.83499
     3504.600      22.08372
     3504.700      22.15336
     3504.800      22.02430
     3504.900      21.98214
     3505.000      22.11808
     3505.100      22.46092
     3505.200      22.96096
     3505.300      23.25069
     3505.400      23.19674
     3505.500      23.01718
     3505.600      22.71171
     3505.700      22.56775
     3505.800      22.62669
     3505.900      22.42764
     3506.000      22.18737
     3506.100      22.22461
     3506.200      22.37765
     3506.300      22.41849
     3506.400      22.25033
     3506.500      22.23557
     3506.600      22.67521
     3506.700      23.09245
     3506.800      22.86119
     3506.900      22.36283
     3507.000      22.10698
     3507.100      22.02091
     3507.200      21.94786
     3507.300      21.82620
     3507.400      21.77944
     3507.500      21.85928
     3507.600      22.00052
     3507.700      22.07876
     3507.800      21.96300
     3507.900      21.83895
     3508.000      21.93829
     3508.100      22.01413
     3508.200      21.94897
     3508.300      21.83181
     3508.400      21.65676
     3508.500      21.60870
     3508.600      21.82934
     3508.700      22.16289
     3508.800      22.31483
     3508.900      22.12857
     3509.000      21.91331
     3509.100      21.88885
     3509.200      21.94199
     3509.300      22.08774
     3509.400      22.24488
     3509.500      22.19583
     3509.600      22.22797
     3509.700      22.64721
     3509.800      23.22256
     3509.900      23.49070
     3510.000      23.14114
     3510.100      22.51459
     3510.200      22.17813
     3510.300      22.27337
     3510.400      22.39632
     3510.500      22.37096
     3510.600      22.48151
     3510.700      22.77765
     3510.800      23.07059
     3510.900      23.05884
     3511.000      22.72149
     3511.100      22.38483
     3511.200      22.30958
     3511.300      22.58352
     3511.400      22.82967
     3511.500      22.77561
     3511.600      22.51365
     3511.700      22.09080
     3511.800      21.76565
     3511.900      21.83019
     3512.000      22.24124
     3512.100      22.59218
     3512.200      22.64283
     3512.300      22.65068
     3512.400      22.53672
     3512.500      22.27317
     3512.600      22.24411
     3512.700      22.39866
     3512.800      22.46791
     3512.900      22.54536
     3513.000      22.81750
     3513.100      23.12314
     3513.200      22.98909
     3513.300      22.55754
     3513.400      22.13039
     3513.500      21.72853
     3513.600      21.50958
     3513.700      21.54463
     3513.800      21.74978
     3513.900      22.02572
     3514.000      22.15767
     3514.100      22.02062
     3514.200      21.90687
     3514.300      21.98142
     3514.400      22.10046
     3514.500      21.95241
     3514.600      21.53056
     3514.700      21.29771
     3514.800      21.29566
     3514.900      21.35151
     3515.000      21.50535
     3515.100      21.70170
     3515.200      21.75275
     3515.300      21.76380
     3515.400      21.77585
     3515.500      21.72910
     3515.600      21.60635
     3515.700      21.48960
     3515.800      21.43375
     3515.900      21.37870
     3516.000      21.36054
     3516.100      21.40689
     3516.200      21.59205
     3516.300      22.02809
     3516.400      22.69555
     3516.500      23.26019
     3516.600      23.39675
     3516.700      23.37270
     3516.800      23.51104
     3516.900      23.37530
     3517.000      22.95775
     3517.100      22.79360
     3517.200      22.68845
     3517.300      22.44520
     3517.400      22.21806
     3517.500      22.23250
     3517.600      22.27335
     3517.700      22.02390
     3517.800      21.76276
     3517.900      21.80641
     3518.000      21.93926
     3518.100      22.34161
     3518.200      22.92036
     3518.300      22.79552
     3518.400      22.28997
     3518.500      22.08412
     3518.600      22.18947
     3518.700      22.35942
     3518.800      22.22688
     3518.900      22.00093
     3519.000      22.09838
     3519.100      22.24873
     3519.200      22.19268
     3519.300      22.06904
     3519.400      22.05819
     3519.500      22.06114
     3519.600      21.87840
     3519.700      21.60735
     3519.800      21.49100
     3519.900      21.58046
     3520.000      21.67221
     3520.100      21.81686
     3520.200      21.88192
     3520.300      21.64007
     3520.400      21.39833
     3520.500      21.39798
     3520.600      21.64603
     3520.700      21.69459
     3520.800      21.38504
     3520.900      21.23840
     3521.000      21.31595
     3521.100      21.36531
     3521.200      21.54006
     3521.300      21.73911
     3521.400      21.63307
     3521.500      21.51693
     3521.600      21.65608
     3521.700      22.03104
     3521.800      22.42119
     3521.900      22.29445
     3522.000      21.75200
     3522.100      21.53536
     3522.200      21.71571
     3522.300      21.69557
     3522.400      21.33603
     3522.500      21.12698
     3522.600      21.16353
     3522.700      21.28060
     3522.800      21.46225
     3522.900      21.58191
     3523.000      21.61377
     3523.100      21.67031
     3523.200      21.94798
     3523.300      22.21803
     3523.400      22.24129
     3523.500      22.52855
     3523.600      22.89700
     3523.700      22.71106
     3523.800      22.21102
     3523.900      21.96898
     3524.000      22.02583
     3524.100      21.90989
     3524.200      21.80115
     3524.300      21.93130
     3524.400      21.86276
     3524.500      21.73342
     3524.600      21.85938
     3524.700      22.12054
     3524.800      22.15779
     3524.900      21.92586
     3525.000      21.78911
     3525.100      21.73687
     3525.200      21.69983
     3525.300      21.68979
     3525.400      21.59245
     3525.500      21.56720
     3525.600      21.67026
     3525.700      21.63103
     3525.800      21.38758
     3525.900      21.25174
     3526.000      21.32190
     3526.100      21.38766
     3526.200      21.32742
     3526.300      21.37778
     3526.400      21.61414
     3526.500      21.67810
     3526.600      21.58176
     3526.700      21.56912
     3526.800      21.57938
     3526.900      21.51334
     3527.000      21.42930
     3527.100      21.51706
     3527.200      21.66082
     3527.300      21.66288
     3527.400      21.63744
     3527.500      21.60231
     3527.600      21.37637
     3527.700      21.18793
     3527.800      21.42409
     3527.900      21.89915
     3528.000      22.12671
     3528.100      21.97567
     3528.200      21.68673
     3528.300      21.51439
     3528.400      21.47025
     3528.500      21.40742
     3528.600      21.36688
     3528.700      21.43004
     3528.800      21.53640
     3528.900      21.48127
     3529.000      21.32443
     3529.100      21.34529
     3529.200      21.52155
     3529.300      21.69292
     3529.400      21.79558
     3529.500      21.92954
     3529.600      22.03550
     3529.700      22.03317
     3529.800      22.09243
     3529.900      21.98779
     3530.000      21.65096
     3530.100      21.49872
     3530.200      21.48638
     3530.300      21.37864
     3530.400      21.36471
     3530.500      21.53817
     3530.600      21.65034
     3530.700      21.58420
     3530.800      21.53456
     3530.900      21.72433
     3531.000      21.90759
     3531.100      21.88376
     3531.200      21.89742
     3531.300      21.92239
     3531.400      21.84665
     3531.500      21.83902
     3531.600      22.04218
     3531.700      22.20985
     3531.800      22.07431
     3531.900      21.87617
     3532.000      21.90884
     3532.100      22.11411
     3532.200      22.17698
     3532.300      22.01364
     3532.400      21.92040
     3532.500      21.84597
     3532.600      21.74714
     3532.700      21.74800
     3532.800      21.74897
     3532.900      21.65783
     3533.000      21.58040
     3533.100      21.65266
     3533.200      21.93023
     3533.300      22.03850
     3533.400      21.78867
     3533.500      21.49523
     3533.600      21.40750
     3533.700      21.50046
     3533.800      21.58833
     3533.900      21.53650
     3534.000      21.34696
     3534.100      21.22643
     3534.200      21.28060
     3534.300      21.34896
     3534.400      21.34584
     3534.500      21.37890
     3534.600      21.51457
     3534.700      21.70724
     3534.800      21.83780
     3534.900      21.85997
     3535.000      21.87064
     3535.100      21.94891
     3535.200      21.97758
     3535.300      21.83555
     3535.400      21.63602
     3535.500      21.53448
     3535.600      21.53935
     3535.700      21.63282
     3535.800      21.69039
     3535.900      21.65656
     3536.000      21.57643
     3536.100      21.48800
     3536.200      21.46197
     3536.300      21.51683
     3536.400      21.57521
     3536.500      21.57817
     3536.600      21.59164
     3536.700      21.47742
     3536.800      21.21718
     3536.900      21.09295
     3537.000      21.21512
     3537.100      21.36919
     3537.200      21.37647
     3537.300      21.30923
     3537.400      21.28761
     3537.500      21.36938
     3537.600      21.46414
     3537.700      21.52312
     3537.800      21.65759
     3537.900      21.76796
     3538.000      21.70883
     3538.100      21.65110
     3538.200      21.74627
     3538.300      21.88634
     3538.400      22.00481
     3538.500      22.01028
     3538.600      21.83046
     3538.700      21.58253
     3538.800      21.40180
     3538.900      21.40377
     3539.000      21.52634
     3539.100      21.65671
     3539.200      21.65209
     3539.300      21.47596
     3539.400      21.32183
     3539.500      21.23420
     3539.600      21.15648
     3539.700      21.13255
     3539.800      21.29232
     3539.900      21.59509
     3540.000      21.71887
     3540.100      21.59944
     3540.200      21.45891
     3540.300      21.49879
     3540.400      21.61506
     3540.500      21.53953
     3540.600      21.60230
     3540.700      21.99978
     3540.800      22.34165
     3540.900      22.36093
     3541.000      22.11120
     3541.100      21.77528
     3541.200      21.67425
     3541.300      21.87782
     3541.400      22.09390
     3541.500      21.99087
     3541.600      21.85174
     3541.700      22.07692
     3541.800      22.41350
     3541.900      22.49877
     3542.000      22.06494
     3542.100      21.53412
     3542.200      21.36699
     3542.300      21.46167
     3542.400      21.72464
     3542.500      21.93802
     3542.600      22.01749
     3542.700      22.10347
     3542.800      22.26764
     3542.900      22.89192
     3543.000      24.04090
     3543.100      24.65467
     3543.200      24.16315
     3543.300      23.71082
     3543.400      24.06380
     3543.500      24.06478
     3543.600      23.56295
     3543.700      23.25743
     3543.800      23.22561
     3543.900      23.10349
     3544.000      22.66376
     3544.100      22.54564
     3544.200      22.50552
     3544.300      22.45499
     3544.400      22.82837
     3544.500      22.92265
     3544.600      22.64672
     3544.700      22.75140
     3544.800      23.29408
     3544.900      23.94025
     3545.000      24.16913
     3545.100      24.17601
     3545.200      24.07709
     3545.300      23.29787
     3545.400      22.46885
     3545.500      22.48352
     3545.600      22.90650
     3545.700      22.60888
     3545.800      22.00015
     3545.900      21.74443
     3546.000      21.85551
     3546.100      22.24799
     3546.200      22.11787
     3546.300      21.52145
     3546.400      21.54643
     3546.500      22.15861
     3546.600      22.51059
     3546.700      22.34947
     3546.800      21.98494
     3546.900      21.95762
     3547.000      22.48130
     3547.100      23.15338
     3547.200      23.46446
     3547.300      22.79534
     3547.400      21.83393
     3547.500      21.85480
     3547.600      22.99108
     3547.700      23.86687
     3547.800      23.29894
     3547.900      22.42982
     3548.000      22.09331
     3548.100      22.07728
     3548.200      22.24407
     3548.300      22.38395
     3548.400      22.57833
     3548.500      22.56191
     3548.600      22.07949
     3548.700      21.75327
     3548.800      22.21405
     3548.900      23.16763
     3549.000      23.26361
     3549.100      22.55420
     3549.200      22.24728
     3549.300      22.25026
     3549.400      22.31864
     3549.500      22.32012
     3549.600      22.36361
     3549.700      22.68019
     3549.800      22.81787
     3549.900      22.47325
     3550.000      21.86183
     3550.100      21.55122
     3550.200      21.79160
     3550.300      22.47598
     3550.400      22.85046
     3550.500      22.39425
     3550.600      21.96093
     3550.700      22.04871
     3550.800      22.17680
     3550.900      22.13068
     3551.000      22.19336
     3551.100      22.31725
     3551.200      22.45203
     3551.300      22.86071
     3551.400      23.08490
     3551.500      22.63988
     3551.600      22.12206
     3551.700      21.80145
     3551.800      21.91563
     3551.900      22.60602
     3552.000      22.88870
     3552.100      22.46568
     3552.200      21.97337
     3552.300      21.69225
     3552.400      21.65354
     3552.500      21.73182
     3552.600      21.93091
     3552.700      22.09079
     3552.800      21.91868
     3552.900      21.61546
     3553.000      21.61845
     3553.100      21.97543
     3553.200      22.17072
     3553.300      22.01591
     3553.400      22.06869
     3553.500      22.50068
     3553.600      23.05876
     3553.700      23.38595
     3553.800      22.95133
     3553.900      22.16762
     3554.000      22.02071
     3554.100      22.54519
     3554.200      22.73038
     3554.300      22.36416
     3554.400      22.16705
     3554.500      22.14074
     3554.600      22.11562
     3554.700      22.25221
     3554.800      22.63800
     3554.900      23.37459
     3555.000      23.80257
     3555.100      23.32416
     3555.200      22.87545
     3555.300      22.93744
     3555.400      23.08262
     3555.500      23.18421
     3555.600      23.30039
     3555.700      23.04718
     3555.800      22.47777
     3555.900      21.81486
     3556.000      21.45675
     3556.100      21.52274
     3556.200      21.60732
     3556.300      21.68551
     3556.400      21.95770
     3556.500      22.49769
     3556.600      22.82388
     3556.700      22.43266
     3556.800      22.17506
     3556.900      22.61674
     3557.000      23.43163
     3557.100      23.78502
     3557.200      22.90401
     3557.300      21.81630
     3557.400      21.36119
     3557.500      21.45538
     3557.600      22.01197
     3557.700      22.35416
     3557.800      22.07265
     3557.900      21.74644
     3558.000      21.50473
     3558.100      21.38082
     3558.200      21.33441
     3558.300      21.25560
     3558.400      21.42369
     3558.500      21.89198
     3558.600      22.27797
     3558.700      22.59286
     3558.800      23.08285
     3558.900      23.10934
     3559.000      22.72233
     3559.100      22.77662
     3559.200      22.92771
     3559.300      23.14130
     3559.400      23.08880
     3559.500      22.35759
     3559.600      21.77598
     3559.700      21.76357
     3559.800      22.11976
     3559.900      22.44965
     3560.000      22.34764
     3560.100      22.04494
     3560.200      21.62783
     3560.300      21.14772
     3560.400      20.93051
     3560.500      20.94221
     3560.600      21.00340
     3560.700      21.14739
     3560.800      21.35078
     3560.900      21.46237
     3561.000      21.43367
     3561.100      21.26736
     3561.200      21.17905
     3561.300      21.37115
     3561.400      21.60504
     3561.500      21.95723
     3561.600      22.77443
     3561.700      23.06392
     3561.800      22.49531
     3561.900      22.11411
     3562.000      22.13890
     3562.100      22.72859
     3562.200      23.35509
     3562.300      23.18088
     3562.400      22.49618
     3562.500      22.03137
     3562.600      21.82706
     3562.700      21.47486
     3562.800      21.17915
     3562.900      21.14054
     3563.000      21.24144
     3563.100      21.41913
     3563.200      21.58463
     3563.300      21.70412
     3563.400      21.74682
     3563.500      21.56861
     3563.600      21.41891
     3563.700      21.58781
     3563.800      21.78260
     3563.900      21.76430
     3564.000      21.76849
     3564.100      21.89648
     3564.200      21.81028
     3564.300      21.54758
     3564.400      21.53257
     3564.500      21.58067
     3564.600      21.56317
     3564.700      21.79586
     3564.800      22.54966
     3564.900      23.35406
     3565.000      23.36995
     3565.100      22.98705
     3565.200      22.82174
     3565.300      22.41384
     3565.400      22.08314
     3565.500      22.16673
     3565.600      21.85833
     3565.700      21.37313
     3565.800      21.23903
     3565.900      21.15192
     3566.000      21.02212
     3566.100      21.02232
     3566.200      21.01612
     3566.300      20.89711
     3566.400      20.79151
     3566.500      20.80061
     3566.600      20.86310
     3566.700      20.98060
     3566.800      21.16950
     3566.900      21.21810
     3567.000      21.01920
     3567.100      20.86390
     3567.200      20.89030
     3567.300      20.95359
     3567.400      20.95849
     3567.500      21.19529
     3567.600      21.54009
     3567.700      21.47349
     3567.800      21.32349
     3567.900      21.31599
     3568.000      21.10668
     3568.100      20.87399
     3568.200      20.97419
     3568.300      21.18758
     3568.400      21.22499
     3568.500      21.18588
     3568.600      21.24368
     3568.700      21.57909
     3568.800      22.15318
     3568.900      22.32688
     3569.000      21.96568
     3569.100      21.61438
     3569.200      21.46428
     3569.300      21.72208
     3569.400      21.94449
     3569.500      21.52648
     3569.600      21.12679
     3569.700      21.14869
     3569.800      21.14119
     3569.900      20.93489
     3570.000      20.80009
     3570.100      20.85579
     3570.200      21.15029
     3570.300      21.54619
     3570.400      21.85310
     3570.500      22.17229
     3570.600      22.35570
     3570.700      22.25010
     3570.800      22.00020
     3570.900      21.76830
     3571.000      21.43830
     3571.100      21.04860
     3571.200      20.89001
     3571.300      20.96211
     3571.400      21.16991
     3571.500      21.31971
     3571.600      20.98572
     3571.700      20.57594
     3571.800      20.46667
     3571.900      20.39609
     3572.000      20.31227
     3572.100      20.42582
     3572.200      20.57078
     3572.300      20.48023
     3572.400      20.41975
     3572.500      20.57466
     3572.600      20.78255
     3572.700      20.81265
     3572.800      20.66046
     3572.900      20.52421
     3573.000      20.56455
     3573.100      20.77357
     3573.200      21.11637
     3573.300      21.35637
     3573.400      21.50648
     3573.500      21.78249
     3573.600      21.79279
     3573.700      21.62689
     3573.800      21.81120
     3573.900      21.98230
     3574.000      21.80641
     3574.100      21.36251
     3574.200      20.89552
     3574.300      20.64022
     3574.400      20.59293
     3574.500      20.67023
     3574.600      20.71984
     3574.700      20.65944
     3574.800      20.66505
     3574.900      20.73025
     3575.000      20.78816
     3575.100      20.82566
     3575.200      20.88577
     3575.300      21.04918
     3575.400      21.13378
     3575.500      21.05299
     3575.600      20.93679
     3575.700      21.02340
     3575.800      21.33331
     3575.900      21.61751
     3576.000      21.69632
     3576.100      21.44223
     3576.200      21.01193
     3576.300      20.73364
     3576.400      20.71725
     3576.500      21.03755
     3576.600      21.56446
     3576.700      21.88667
     3576.800      21.62768
     3576.900      21.09928
     3577.000      20.79179
     3577.100      20.84430
     3577.200      21.07361
     3577.300      21.08672
     3577.400      20.96082
     3577.500      20.97933
     3577.600      20.96524
     3577.700      20.79165
     3577.800      20.67145
     3577.900      20.75856
     3578.000      20.99357
     3578.100      21.24618
     3578.200      21.30369
     3578.300      21.23660
     3578.400      21.24321
     3578.500      21.17931
     3578.600      21.08922
     3578.700      21.23933
     3578.800      21.44954
     3578.900      21.27495
     3579.000      21.00566
     3579.100      20.98167
     3579.200      21.20098
     3579.300      21.35849
     3579.400      21.14910
     3579.500      20.85480
     3579.600      20.75722
     3579.700      20.81313
     3579.800      20.91384
     3579.900      20.93215
     3580.000      20.95196
     3580.100      21.26526
     3580.200      21.62928
     3580.300      21.49729
     3580.400      21.18650
     3580.500      21.24731
     3580.600      21.47922
     3580.700      21.32923
     3580.800      20.96204
     3580.900      20.75516
     3581.000      20.61167
     3581.100      20.47668
     3581.200      20.41298
     3581.300      20.47844
     3581.400      20.61061
     3581.500      20.68362
     3581.600      20.70263
     3581.700      20.70535
     3581.800      20.71326
     3581.900      20.76707
     3582.000      20.74098
     3582.100      20.70479
     3582.200      20.79070
     3582.300      20.79952
     3582.400      20.71113
     3582.500      20.77874
     3582.600      21.00846
     3582.700      21.20417
     3582.800      21.22618
     3582.900      21.15359
     3583.000      21.08221
     3583.100      20.95182
     3583.200      20.82693
     3583.300      20.78284
     3583.400      20.77056
     3583.500      20.83507
     3583.600      21.11918
     3583.700      21.61820
     3583.800      21.82121
     3583.900      21.61283
     3584.000      21.43554
     3584.100      21.38245
     3584.200      21.42627
     3584.300      21.44398
     3584.400      21.26580
     3584.500      21.05071
     3584.600      20.93233
     3584.700      20.82274
     3584.800      20.73625
     3584.900      20.69277
     3585.000      20.75838
     3585.100      20.88210
     3585.200      20.86401
     3585.300      20.80903
     3585.400      20.78685
     3585.500      20.69826
     3585.600      20.61328
     3585.700      20.61509
     3585.800      20.62131
     3585.900      20.57242
     3586.000      20.53714
     3586.100      20.49525
     3586.200      20.38821
     3586.300      20.27608
     3586.400      20.30824
     3586.500      20.46182
     3586.600      20.51453
     3586.700      20.42552
     3586.800      20.38704
     3586.900      20.46578
     3587.000      20.52590
     3587.100      20.47581
     3587.200      20.37629
     3587.300      20.31939
     3587.400      20.40598
     3587.500      20.50698
     3587.600      20.36662
     3587.700      20.14595
     3587.800      20.13976
     3587.900      20.30805
     3588.000      20.36570
     3588.100      20.28399
     3588.200      20.32489
     3588.300      20.50312
     3588.400      20.57324
     3588.500      20.50686
     3588.600      20.43518
     3588.700      20.39719
     3588.800      20.39652
     3588.900      20.48443
