#         WAVE          FLUX
#------------- -------------
     3500.000      4.177620
     3500.100      4.457174
     3500.200      4.939528
     3500.300      5.050583
     3500.400      4.878737
     3500.500      4.888992
     3500.600      5.132846
     3500.700      5.578001
     3500.800      5.905654
     3500.900      5.946409
     3501.000      5.718563
     3501.100      5.002418
     3501.200      4.355572
     3501.300      4.113327
     3501.400      4.058381
     3501.500      4.023335
     3501.600      3.932189
     3501.700      3.919644
     3501.800      3.951399
     3501.900      3.945453
     3502.000      3.956408
     3502.100      3.986261
     3502.200      4.009717
     3502.300      3.987371
     3502.400      3.986225
     3502.500      3.996880
     3502.600      4.088135
     3502.700      4.190889
     3502.800      4.122643
     3502.900      4.032598
     3503.000      4.006553
     3503.100      4.044307
     3503.200      4.356562
     3503.300      4.811816
     3503.400      4.863472
     3503.500      4.574726
     3503.600      4.641881
     3503.700      5.153035
     3503.800      5.326390
     3503.900      4.913345
     3504.000      4.514600
     3504.100      4.315154
     3504.200      4.136909
     3504.300      3.931464
     3504.400      3.872219
     3504.500      4.023674
     3504.600      4.273428
     3504.700      4.344083
     3504.800      4.216037
     3504.900      4.174892
     3505.000      4.311848
     3505.100      4.655702
     3505.200      5.156757
     3505.300      5.447512
     3505.400      5.394567
     3505.500      5.216022
     3505.600      4.911577
     3505.700      4.768631
     3505.800      4.828587
     3505.900      4.630542
     3506.000      4.391296
     3506.100      4.429552
     3506.200      4.583607
     3506.300      4.625462
     3506.400      4.458317
     3506.500      4.444571
     3506.600      4.885226
     3506.700      5.303482
     3506.800      5.073236
     3506.900      4.575891
     3507.000      4.321047
     3507.100      4.236002
     3507.200      4.163957
     3507.300      4.043312
     3507.400      3.997567
     3507.500      4.078423
     3507.600      4.220677
     3507.700      4.299933
     3507.800      4.185187
     3507.900      4.062144
     3508.000      4.162498
     3508.100      4.239354
     3508.200      4.175209
     3508.300      4.059064
     3508.400      3.885020
     3508.500      3.837975
     3508.600      4.059630
     3508.700      4.394186
     3508.800      4.547141
     3508.900      4.361896
     3509.000      4.147651
     3509.100      4.124207
     3509.200      4.178362
     3509.300      4.325117
     3509.400      4.483273
     3509.500      4.435228
     3509.600      4.468384
     3509.700      4.888639
     3509.800      5.464994
     3509.900      5.734150
     3510.000      5.385606
     3510.100      4.760061
     3510.200      4.424616
     3510.300      4.520872
     3510.400      4.644828
     3510.500      4.620483
     3510.600      4.732038
     3510.700      5.029194
     3510.800      5.323150
     3510.900      5.312405
     3511.000      4.976061
     3511.100      4.640416
     3511.200      4.566172
     3511.300      4.841127
     3511.400      5.088284
     3511.500      5.035239
     3511.600      4.774294
     3511.700      4.352450
     3511.800      4.028306
     3511.900      4.093862
     3512.000      4.505918
     3512.100      4.857873
     3512.200      4.909529
     3512.300      4.918385
     3512.400      4.805440
     3512.500      4.542896
     3512.600      4.514852
     3512.700      4.670407
     3512.800      4.740664
     3512.900      4.819119
     3513.000      5.092275
     3513.100      5.398931
     3513.200      5.265886
     3513.300      4.835343
     3513.400      4.409199
     3513.500      4.008354
     3513.600      3.790410
     3513.700      3.826466
     3513.800      4.032622
     3513.900      4.309578
     3514.000      4.442534
     3514.100      4.306490
     3514.200      4.193747
     3514.300      4.269302
     3514.400      4.389358
     3514.500      4.242314
     3514.600      3.821470
     3514.700      3.589626
     3514.800      3.588582
     3514.900      3.645439
     3515.000      3.800294
     3515.100      3.997650
     3515.200      4.049706
     3515.300      4.061763
     3515.400      4.074819
     3515.500      4.029075
     3515.600      3.907331
     3515.700      3.791587
     3515.800      3.736743
     3515.900      3.682700
     3516.000      3.665555
     3516.100      3.712912
     3516.200      3.899068
     3516.300      4.336124
     3516.400      5.004581
     3516.500      5.570237
     3516.600      5.707793
     3516.700      5.684750
     3516.800      5.824105
     3516.900      5.689363
     3517.000      5.272819
     3517.100      5.109674
     3517.200      5.005531
     3517.300      4.763288
     3517.400      4.537145
     3517.500      4.552600
     3517.600      4.594457
     3517.700      4.346013
     3517.800      4.085870
     3517.900      4.130527
     3518.000      4.264382
     3518.100      4.667738
     3518.200      5.247496
     3518.300      5.123652
     3518.400      4.619108
     3518.500      4.414265
     3518.600      4.520621
     3518.700      4.691578
     3518.800      4.560035
     3518.900      4.335091
     3519.000      4.433547
     3519.100      4.584904
     3519.200      4.529860
     3519.300      4.407217
     3519.400      4.397374
     3519.500      4.401330
     3519.600      4.219587
     3519.700      3.949544
     3519.800      3.834200
     3519.900      3.924657
     3520.000      4.017414
     3520.100      4.163071
     3520.200      4.229127
     3520.300      3.988284
     3520.400      3.747541
     3520.500      3.748198
     3520.600      3.997254
     3520.700      4.046811
     3520.800      3.738268
     3520.900      3.592625
     3521.000      3.671181
     3521.100      3.721538
     3521.200      3.897295
     3521.300      4.097352
     3521.400      3.992309
     3521.500      3.877166
     3521.600      4.017323
     3521.700      4.393280
     3521.800      4.784436
     3521.900      4.658693
     3522.000      4.117250
     3522.100      3.901608
     3522.200      4.082964
     3522.300      4.063821
     3522.400      3.705278
     3522.500      3.497235
     3522.600      3.534792
     3522.700      3.652850
     3522.800      3.835506
     3522.900      3.956163
     3523.000      3.989021
     3523.100      4.046577
     3523.200      4.325234
     3523.300      4.596292
     3523.400      4.620549
     3523.500      4.908806
     3523.600      5.278263
     3523.700      5.093320
     3523.800      4.594277
     3523.900      4.353234
     3524.000      4.411092
     3524.100      4.296148
     3524.200      4.188406
     3524.300      4.319563
     3524.400      4.252020
     3524.500      4.123678
     3524.600      4.250635
     3524.700      4.512793
     3524.800      4.551049
     3524.900      4.320107
     3525.000      4.184364
     3525.100      4.133121
     3525.200      4.097079
     3525.300      4.088036
     3525.400      3.991693
     3525.500      3.967451
     3525.600      4.071507
     3525.700      4.033266
     3525.800      3.790823
     3525.900      3.655981
     3526.000      3.727138
     3526.100      3.793895
     3526.200      3.734653
     3526.300      3.786010
     3526.400      4.023368
     3526.500      4.088325
     3526.600      3.992982
     3526.700      3.981340
     3526.800      3.992598
     3526.900      3.927555
     3527.000      3.844513
     3527.100      3.933270
     3527.200      4.078028
     3527.300      4.081085
     3527.400      4.056643
     3527.500      4.022501
     3527.600      3.797558
     3527.700      3.610116
     3527.800      3.847273
     3527.900      4.323331
     3528.000      4.551888
     3528.100      4.401846
     3528.200      4.113904
     3528.300      3.942562
     3528.400      3.899419
     3528.500      3.837577
     3528.600      3.798035
     3528.700      3.862193
     3528.800      3.969550
     3528.900      3.915408
     3529.000      3.759566
     3529.100      3.781424
     3529.200      3.958682
     3529.300      4.131040
     3529.400      4.234697
     3529.500      4.369655
     3529.600      4.476613
     3529.700      4.475271
     3529.800      4.535529
     3529.900      4.431887
     3530.000      4.096045
     3530.100      3.944802
     3530.200      3.933460
     3530.300      3.826718
     3530.400      3.813776
     3530.500      3.988234
     3530.600      4.101392
     3530.700      4.036250
     3530.800      3.987608
     3530.900      4.178366
     3531.000      4.362624
     3531.100      4.339782
     3531.200      4.354440
     3531.300      4.380399
     3531.400      4.305657
     3531.500      4.299015
     3531.600      4.503173
     3531.700      4.671831
     3531.800      4.537289
     3531.900      4.340147
     3532.000      4.373806
     3532.100      4.580063
     3532.200      4.643922
     3532.300      4.481580
     3532.400      4.389338
     3532.500      4.315896
     3532.600      4.218054
     3532.700      4.219913
     3532.800      4.221871
     3532.900      4.131729
     3533.000      4.055288
     3533.100      4.128545
     3533.200      4.407104
     3533.300      4.516362
     3533.400      4.267521
     3533.500      3.975079
     3533.600      3.888337
     3533.700      3.982296
     3533.800      4.071154
